"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TARATA (000)",3074,8469,7434,,102,87.8,1.2
"De 12 a 14 años (001)",195,,,,,,
"De 15 a 19 años (002)",301,62,61,16,98.4,25.8,
"De 20 a 24 años (003)",305,234,228,36,97.4,15.4,
"De 25 a 29 años (004)",290,393,378,19,96.2,4.8,
"De 30 a 34 años (005)",248,486,468,17,96.3,3.5,
"De 35 a 39 años (006)",250,628,594,9,94.6,1.4,
"De 40 a 44 años (007)",228,709,662,4,93.4,0.6,
"De 45 a 49 años (008)",218,805,722,1,89.7,0.1,
"De 50 y más años (009)",1039,5152,4321,,83.9,,
"Conviviente (010)",904,2247,2071,76,92.2,3.4,
"De 12 a 14 años (011)",2,,,,,,
"De 15 a 19 años (012)",56,37,37,12,100,32.4,
"De 20 a 24 años (013)",155,179,177,31,98.9,17.3,
"De 25 a 29 años (014)",156,269,257,15,95.5,5.6,
"De 30 a 34 años (015)",120,254,243,10,95.7,3.9,
"De 35 a 39 años (016)",114,277,266,6,96,2.2,
"De 40 a 44 años (017)",85,265,248,1,93.6,0.4,
"De 45 a 49 años (018)",55,212,188,1,88.7,0.5,
"De 50 y más años (019)",161,754,655,,86.9,,
"Separado(a) (020)",132,423,376,3,88.9,0.7,
"De 20 a 24 años (023)",8,10,10,,100,,
"De 25 a 29 años (024)",16,19,19,,100,,
"De 30 a 34 años (025)",14,30,29,1,96.7,3.3,
"De 35 a 39 años (026)",18,52,48,,92.3,,
"De 40 a 44 años (027)",20,66,61,2,92.4,3,
"De 45 a 49 años (028)",17,53,52,,98.1,,
"De 50 y más años (029)",39,193,157,,81.3,,
"Casado(a) (030)",907,4006,3497,12,87.3,0.3,
"De 15 a 19 años (032)",1,2,1,,50,,
"De 20 a 24 años (033)",13,22,20,2,90.9,9.1,
"De 25 a 29 años (034)",37,65,64,2,98.5,3.1,
"De 30 a 34 años (035)",61,145,141,4,97.2,2.8,
"De 35 a 39 años (036)",74,234,219,3,93.6,1.3,
"De 40 a 44 años (037)",91,313,293,1,93.6,0.3,
"De 45 a 49 años (038)",110,460,408,,88.7,,
"De 50 y más años (039)",520,2765,2351,,85,,
"Viudo(a) (040)",276,1423,1145,1,80.5,0.1,
"De 20 a 24 años (043)",1,1,1,,100,,
"De 30 a 34 años (045)",5,20,18,1,90,5,
