"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCA SANCOS (000)",9923,496,1173,1330,965,1306,1362,2336,955
"Sabe leer y escribir (001)",7854,,877,1322,955,1241,1251,1744,464
"No sabe leer y escribir (002)",2069,496,296,8,10,65,111,592,491
"Hombres (004)",4801,233,605,677,552,593,664,1092,385
"Sabe leer y escribir (005)",4252,,457,674,549,579,654,1031,308
"No sabe leer y escribir (006)",549,233,148,3,3,14,10,61,77
"Mujeres (008)",5122,263,568,653,413,713,698,1244,570
"Sabe leer y escribir (009)",3602,,420,648,406,662,597,713,156
"No sabe leer y escribir (010)",1520,263,148,5,7,51,101,531,414
,,,,,,,,,
"URBANA (012)",6708,318,821,956,666,849,928,1525,645
"Sabe leer y escribir (013)",5508,,624,949,658,820,878,1225,354
"No sabe leer y escribir (014)",1200,318,197,7,8,29,50,300,291
"Hombres (016)",3249,151,425,498,388,387,438,708,254
"Sabe leer y escribir (017)",2925,,325,495,386,381,431,689,218
"No sabe leer y escribir (018)",324,151,100,3,2,6,7,19,36
"Mujeres (020)",3459,167,396,458,278,462,490,817,391
"Sabe leer y escribir (021)",2583,,299,454,272,439,447,536,136
"No sabe leer y escribir (022)",876,167,97,4,6,23,43,281,255
,,,,,,,,,
"RURAL (024)",3215,178,352,374,299,457,434,811,310
"Sabe leer y escribir (025)",2346,,253,373,297,421,373,519,110
"No sabe leer y escribir (026)",869,178,99,1,2,36,61,292,200
"Hombres (028)",1552,82,180,179,164,206,226,384,131
"Sabe leer y escribir (029)",1327,,132,179,163,198,223,342,90
"No sabe leer y escribir (030)",225,82,48,,1,8,3,42,41
"Mujeres (032)",1663,96,172,195,135,251,208,427,179
"Sabe leer y escribir (033)",1019,,121,194,134,223,150,177,20
"No sabe leer y escribir (034)",644,96,51,1,1,28,58,250,159
