"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ABANCAY (000)",24837,134,506,1242,2480,5522,8893,6060
"De 12 a 14 años (001)",39,,,,,,3,36
"De 15 a 19 años (002)",658,,,,,,395,263
"De 20 a 24 años (003)",2661,,,,,10,1475,1176
"De 25 a 29 años (004)",3133,,,,,172,1950,1011
"De 30 a 34 años (005)",3191,,,,,561,1967,663
"De 35 a 39 años (006)",3031,,,,22,997,1561,451
"De 40 a 44 años (007)",2622,,,,88,1107,1034,393
"De 45 a 49 años (008)",2144,,,10,281,1171,431,251
"De 50 y más años (009)",7358,134,506,1232,2089,1504,77,1816
"Conviviente (010)",7624,,20,52,203,1093,4495,1761
"De 12 a 14 años (011)",29,,,,,,,29
"De 15 a 19 años (012)",490,,,,,,298,192
"De 20 a 24 años (013)",1555,,,,,5,1047,503
"De 25 a 29 años (014)",1758,,,,,87,1259,412
"De 30 a 34 años (015)",1436,,,,,235,945,256
"De 35 a 39 años (016)",1008,,,,3,278,596,131
"De 40 a 44 años (017)",555,,,,19,192,262,82
"De 45 a 49 años (018)",309,,,2,30,155,77,45
"De 50 y más años (019)",484,,20,50,151,141,11,111
"Separado(a) (020)",1436,2,7,59,131,355,535,347
"De 12 a 14 años (021)",2,,,,,,2,
"De 15 a 19 años (022)",61,,,,,,41,20
"De 20 a 24 años (023)",167,,,,,1,113,53
"De 25 a 29 años (024)",209,,,,,21,126,62
"De 30 a 34 años (025)",196,,,,,44,100,52
"De 35 a 39 años (026)",183,,,,,77,70,36
"De 40 a 44 años (027)",167,,,,6,68,57,36
"De 45 a 49 años (028)",146,,,1,25,75,24,21
"De 50 y más años (029)",305,2,7,58,100,69,2,67
"Casado(a) (030)",10925,15,182,633,1544,3504,3278,1769
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",28,,,,,,6,22
"De 20 a 24 años (033)",218,,,,,2,150,66
"De 25 a 29 años (034)",599,,,,,37,439,123
"De 30 a 34 años (035)",1222,,,,,217,826,179
"De 35 a 39 años (036)",1597,,,,13,558,829,197
"De 40 a 44 años (037)",1654,,,,51,751,663,189
"De 45 a 49 años (038)",1466,,,4,176,840,308,138
"De 50 y más años (039)",4138,15,182,629,1304,1099,57,852
"Viudo(a) (040)",2501,111,283,453,496,339,102,717
"De 15 a 19 años (042)",2,,,,,,,2
"De 20 a 24 años (043)",9,,,,,,3,6
"De 25 a 29 años (044)",13,,,,,1,11,1
"De 30 a 34 años (045)",42,,,,,13,20,9
"De 35 a 39 años (046)",55,,,,2,29,21,3
"De 40 a 44 años (047)",104,,,,3,56,27,18
"De 45 a 49 años (048)",119,,,1,27,68,14,9
