"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TARMA (000)",111056,71545,39511
"Casa independiente (001)",105200,66462,38738
"Departamento en edificio (002)",1056,1056,
"Vivienda en quinta (003)",2355,2355,
"Vivienda en casa de vecindad (004)",1539,1539,
"Choza o cabaña (005)",757,,757
"Vivienda improvisada (006)",11,11,
"Local no dest.para hab. humana (007)",126,117,9
"Otro tipo (008)",12,5,7
