"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia EL COLLAO (000)",31096,2585,1247,19938,140,7075,111
"Sin nivel (001)",3607,14,47,2425,13,1104,4
"Educación inicial (002)",23,1,2,11,,9,
"Primaria (003)",11231,85,376,7984,32,2723,31
"Secundaria (004)",11872,450,661,7733,59,2911,58
"Superior no univ. incompleta (005)",1059,294,59,569,10,120,7
"Superior no univ. completa (006)",1451,714,49,572,8,105,3
"Superior univ. incompleta (007)",553,183,25,286,5,50,4
"Superior univ. completa (008)",1300,844,28,358,13,53,4
"Hombres (010)",18576,1916,1064,13300,107,2174,15
"Sin nivel (011)",1046,3,22,945,8,68,
"Educación inicial (012)",14,1,1,8,,4,
"Primaria (013)",6379,52,301,5443,22,558,3
"Secundaria (014)",7978,334,592,5646,48,1348,10
"Superior no univ. incompleta (015)",763,232,55,395,7,73,1
"Superior no univ. completa (016)",1019,505,47,401,8,58,
"Superior univ. incompleta (017)",409,143,21,211,4,29,1
"Superior univ. completa (018)",968,646,25,251,10,36,
"Mujeres (020)",12520,669,183,6638,33,4901,96
"Sin nivel (021)",2561,11,25,1480,5,1036,4
"Educación inicial (022)",9,,1,3,,5,
"Primaria (023)",4852,33,75,2541,10,2165,28
"Secundaria (024)",3894,116,69,2087,11,1563,48
"Superior no univ. incompleta (025)",296,62,4,174,3,47,6
"Superior no univ. completa (026)",432,209,2,171,,47,3
"Superior univ. incompleta (027)",144,40,4,75,1,21,3
"Superior univ. completa (028)",332,198,3,107,3,17,4
,,,,,,,
"URBANA (030)",9017,2044,659,5277,89,878,70
"Sin nivel (031)",398,12,20,308,,54,4
"Educación inicial (032)",10,1,2,6,,1,
"Primaria (033)",2025,64,173,1477,19,274,18
"Secundaria (034)",3575,324,344,2417,41,415,34
"Superior no univ. incompleta (035)",686,250,44,334,8,44,6
"Superior no univ. completa (036)",970,568,35,321,5,38,3
"Superior univ. incompleta (037)",372,144,21,172,5,28,2
"Superior univ. completa (038)",981,681,20,242,11,24,3
"Hombres (040)",5289,1458,552,2919,65,282,13
"Sin nivel (041)",96,3,9,81,,3,
"Educación inicial (042)",7,1,1,4,,1,
"Primaria (043)",969,37,129,734,11,55,3
"Secundaria (044)",2179,228,303,1442,31,167,8
"Superior no univ. incompleta (045)",463,201,42,197,6,16,1
"Superior no univ. completa (046)",632,387,33,195,5,12,
"Superior univ. incompleta (047)",251,106,18,109,4,13,1
"Superior univ. completa (048)",692,495,17,157,8,15,
"Mujeres (050)",3728,586,107,2358,24,596,57
"Sin nivel (051)",302,9,11,227,,51,4
"Educación inicial (052)",3,,1,2,,,
"Primaria (053)",1056,27,44,743,8,219,15
"Secundaria (054)",1396,96,41,975,10,248,26
"Superior no univ. incompleta (055)",223,49,2,137,2,28,5
"Superior no univ. completa (056)",338,181,2,126,,26,3
"Superior univ. incompleta (057)",121,38,3,63,1,15,1
"Superior univ. completa (058)",289,186,3,85,3,9,3
,,,,,,,
"RURAL (060)",22079,541,588,14661,51,6197,41
"Sin nivel (061)",3209,2,27,2117,13,1050,
"Educación inicial (062)",13,,,5,,8,
"Primaria (063)",9206,21,203,6507,13,2449,13
"Secundaria (064)",8297,126,317,5316,18,2496,24
"Superior no univ. incompleta (065)",373,44,15,235,2,76,1
"Superior no univ. completa (066)",481,146,14,251,3,67,
"Superior univ. incompleta (067)",181,39,4,114,,22,2
"Superior univ. completa (068)",319,163,8,116,2,29,1
"Hombres (070)",13287,458,512,10381,42,1892,2
"Sin nivel (071)",950,,13,864,8,65,
"Educación inicial (072)",7,,,4,,3,
"Primaria (073)",5410,15,172,4709,11,503,
"Secundaria (074)",5799,106,289,4204,17,1181,2
"Superior no univ. incompleta (075)",300,31,13,198,1,57,
"Superior no univ. completa (076)",387,118,14,206,3,46,
"Superior univ. incompleta (077)",158,37,3,102,,16,
"Superior univ. completa (078)",276,151,8,94,2,21,
"Mujeres (080)",8792,83,76,4280,9,4305,39
"Sin nivel (081)",2259,2,14,1253,5,985,
"Educación inicial (082)",6,,,1,,5,
"Primaria (083)",3796,6,31,1798,2,1946,13
"Secundaria (084)",2498,20,28,1112,1,1315,22
"Superior no univ. incompleta (085)",73,13,2,37,1,19,1
"Superior no univ. completa (086)",94,28,,45,,21,
"Superior univ. incompleta (087)",23,2,1,12,,6,2
"Superior univ. completa (088)",43,12,,22,,8,1
