"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ATALAYA (000)",42896,14435,28461
"Casa independiente (001)",20250,13426,6824
"Departamento en edificio (002)",19,19,
"Vivienda en quinta (003)",585,585,
"Vivienda en casa de vecindad (004)",206,206,
"Choza o cabaña (005)",21537,,21537
"Vivienda improvisada (006)",189,189,
"Local no dest.para hab. humana (007)",17,8,9
"Otro tipo (008)",93,2,91
