"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHUMBIVILCAS (000)",50662,10207,7610,8470,8287,6498,9590
"Conviviente (001)",13326,235,2554,4657,3061,1476,1343
"Separado(a) (002)",867,14,157,204,183,147,162
"Casado(a) (003)",16339,32,250,2217,4345,4171,5324
"Viudo(a) (004)",3204,4,15,67,222,452,2444
"Divorciado(a) (005)",156,,12,37,22,30,55
"Soltero(a) (006)",16770,9922,4622,1288,454,222,262
"Hombres (008)",25487,5394,3863,4122,4163,3280,4665
"Conviviente (009)",6470,121,814,2321,1691,784,739
"Separado(a) (010)",189,1,7,30,39,49,63
"Casado(a) (011)",8049,18,73,858,2054,2147,2899
"Viudo(a) (012)",1012,1,3,15,67,140,786
"Divorciado(a) (013)",52,,1,4,10,13,24
"Soltero(a) (014)",9715,5253,2965,894,302,147,154
"Mujeres (016)",25175,4813,3747,4348,4124,3218,4925
"Conviviente (017)",6856,114,1740,2336,1370,692,604
"Separado(a) (018)",678,13,150,174,144,98,99
"Casado(a) (019)",8290,14,177,1359,2291,2024,2425
"Viudo(a) (020)",2192,3,12,52,155,312,1658
"Divorciado(a) (021)",104,,11,33,12,17,31
"Soltero(a) (022)",7055,4669,1657,394,152,75,108
,,,,,,,
"URBANA (024)",12257,2498,2157,2393,2145,1387,1677
"Conviviente (025)",3580,78,732,1333,881,347,209
"Separado(a) (026)",314,7,48,73,80,51,55
"Casado(a) (027)",3374,11,65,486,995,851,966
"Viudo(a) (028)",492,3,2,15,37,66,369
"Divorciado(a) (029)",52,,,14,8,13,17
"Soltero(a) (030)",4445,2399,1310,472,144,59,61
"Hombres (032)",6173,1342,1071,1139,1117,726,778
"Conviviente (033)",1745,44,241,644,501,193,122
"Separado(a) (034)",64,,3,9,23,13,16
"Casado(a) (035)",1681,8,19,183,493,461,517
"Viudo(a) (036)",129,1,1,2,9,24,92
"Divorciado(a) (037)",16,,,2,4,5,5
"Soltero(a) (038)",2538,1289,807,299,87,30,26
"Mujeres (040)",6084,1156,1086,1254,1028,661,899
"Conviviente (041)",1835,34,491,689,380,154,87
"Separado(a) (042)",250,7,45,64,57,38,39
"Casado(a) (043)",1693,3,46,303,502,390,449
"Viudo(a) (044)",363,2,1,13,28,42,277
"Divorciado(a) (045)",36,,,12,4,8,12
"Soltero(a) (046)",1907,1110,503,173,57,29,35
,,,,,,,
"RURAL (048)",38405,7709,5453,6077,6142,5111,7913
"Conviviente (049)",9746,157,1822,3324,2180,1129,1134
"Separado(a) (050)",553,7,109,131,103,96,107
"Casado(a) (051)",12965,21,185,1731,3350,3320,4358
"Viudo(a) (052)",2712,1,13,52,185,386,2075
"Divorciado(a) (053)",104,,12,23,14,17,38
"Soltero(a) (054)",12325,7523,3312,816,310,163,201
"Hombres (056)",19314,4052,2792,2983,3046,2554,3887
"Conviviente (057)",4725,77,573,1677,1190,591,617
"Separado(a) (058)",125,1,4,21,16,36,47
"Casado(a) (059)",6368,10,54,675,1561,1686,2382
"Viudo(a) (060)",883,,2,13,58,116,694
"Divorciado(a) (061)",36,,1,2,6,8,19
"Soltero(a) (062)",7177,3964,2158,595,215,117,128
"Mujeres (064)",19091,3657,2661,3094,3096,2557,4026
"Conviviente (065)",5021,80,1249,1647,990,538,517
"Separado(a) (066)",428,6,105,110,87,60,60
"Casado(a) (067)",6597,11,131,1056,1789,1634,1976
"Viudo(a) (068)",1829,1,11,39,127,270,1381
"Divorciado(a) (069)",68,,11,21,8,9,19
"Soltero(a) (070)",5148,3559,1154,221,95,46,73
