"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMPA (000)",18504,17781,5674,2395,2232,1742,2601,1596,1003,538,723,48269
"De 12 a 14 años (001)",1686,1680,1668,9,3,,,,,,6,15
"De 15 a 19 años (002)",2432,2405,2141,226,33,5,,,,,27,307
"De 20 a 24 años (003)",2165,1921,860,705,267,71,17,1,,,244,1528
"De 25 a 29 años (004)",1870,1675,334,500,487,223,122,7,2,,195,2718
"De 30 a 34 años (005)",1569,1476,158,287,414,303,259,48,6,1,93,3512
"De 35 a 39 años (006)",1561,1508,113,193,305,300,421,137,36,3,53,4771
"De 40 a 44 años (007)",1329,1303,83,101,197,208,382,206,101,25,26,5230
"De 45 a 49 años (008)",1155,1140,59,86,138,160,292,224,134,47,15,5224
"De 50 y más años (009)",4737,4673,258,288,388,472,1108,973,724,462,64,24964
"Sin nivel (010)",2756,2701,217,202,213,251,602,510,416,290,55,14105
"De 12 a 14 años (011)",6,6,6,,,,,,,,,
"De 15 a 19 años (012)",30,30,27,3,,,,,,,,3
"De 20 a 24 años (013)",23,22,14,6,2,,,,,,1,10
"De 25 a 29 años (014)",38,33,7,8,6,6,4,1,1,,5,71
"De 30 a 34 años (015)",48,44,6,8,8,8,13,1,,,4,114
"De 35 a 39 años (016)",71,65,8,8,7,9,20,8,4,1,6,231
"De 40 a 44 años (017)",97,93,10,10,8,10,19,18,12,6,4,416
"De 45 a 49 años (018)",130,128,8,6,16,11,32,29,17,9,2,642
"De 50 y más años (019)",2313,2280,131,153,166,207,514,453,382,274,33,12618
"Educacion Inicial (020)",19,18,4,3,6,5,,,,,1,30
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 20 a 24 años (023)",2,2,,1,1,,,,,,,3
