"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia BARRANCA (000)",32690,132914,27610,113295,5080,19619
"Casa independiente (001)",30373,124721,25690,106452,4683,18269
"Departamento en edificio (002)",478,1601,478,1601,,
"Vivienda en quinta (003)",643,2422,643,2422,,
"Vivienda en casa de vecindad (004)",529,1970,529,1970,,
"Choza o cabaña (005)",375,1306,,,375,1306
"Vivienda improvisada (006)",217,719,217,719,,
"Local no dest.para hab. humana (007)",53,140,45,115,8,25
"Otro tipo (008)",22,35,8,16,14,19
