"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JUNIN (000)",663,2,329,199,115,18
"Sin nivel (001)",36,,8,12,13,3
"Educación inicial (002)",1,,,1,,
"Primaria (003)",127,1,32,44,43,7
"Secundaria (004)",271,1,169,71,26,4
"Superior no univ. incompleta (005)",42,,26,8,7,1
"Superior no univ. completa (006)",93,,51,32,9,1
"Superior univ. incompleta (007)",30,,10,12,7,1
"Superior univ. completa (008)",63,,33,19,10,1
"Hombres (010)",502,,233,157,97,15
"Sin nivel (011)",23,,5,9,8,1
"Educación inicial (012)",1,,,1,,
"Primaria (013)",102,,20,38,38,6
"Secundaria (014)",219,,130,62,23,4
"Superior no univ. incompleta (015)",33,,21,4,7,1
"Superior no univ. completa (016)",54,,26,20,7,1
"Superior univ. incompleta (017)",26,,7,12,6,1
"Superior univ. completa (018)",44,,24,11,8,1
"Mujeres (020)",161,2,96,42,18,3
"Sin nivel (021)",13,,3,3,5,2
"Primaria (023)",25,1,12,6,5,1
"Secundaria (024)",52,1,39,9,3,
"Superior no univ. incompleta (025)",9,,5,4,,
"Superior no univ. completa (026)",39,,25,12,2,
"Superior univ. incompleta (027)",4,,3,,1,
"Superior univ. completa (028)",19,,9,8,2,
,,,,,,
"Area Urbana (030)",572,2,276,173,106,15
"Sin nivel (031)",34,,8,11,12,3
"Educación inicial (032)",1,,,1,,
"Primaria (033)",101,1,21,35,38,6
"Secundaria (034)",238,1,142,68,24,3
"Superior no univ. incompleta (035)",34,,22,5,6,1
"Superior no univ. completa (036)",83,,46,28,9,
"Superior univ. incompleta (037)",24,,9,7,7,1
"Superior univ. completa (038)",57,,28,18,10,1
"Hombres (040)",428,,192,134,90,12
"Sin nivel (041)",22,,5,8,8,1
"Educación inicial (042)",1,,,1,,
"Primaria (043)",81,,14,29,33,5
"Secundaria (044)",192,,108,59,22,3
"Superior no univ. incompleta (045)",26,,17,2,6,1
"Superior no univ. completa (046)",48,,23,18,7,
"Superior univ. incompleta (047)",20,,6,7,6,1
"Superior univ. completa (048)",38,,19,10,8,1
"Mujeres (050)",144,2,84,39,16,3
"Sin nivel (051)",12,,3,3,4,2
"Primaria (053)",20,1,7,6,5,1
"Secundaria (054)",46,1,34,9,2,
"Superior no univ. incompleta (055)",8,,5,3,,
"Superior no univ. completa (056)",35,,23,10,2,
"Superior univ. incompleta (057)",4,,3,,1,
"Superior univ. completa (058)",19,,9,8,2,
,,,,,,
"Area Rural (060)",91,,53,26,9,3
"Sin nivel (061)",2,,,1,1,
"Primaria (063)",26,,11,9,5,1
"Secundaria (064)",33,,27,3,2,1
"Superior no univ. incompleta (065)",8,,4,3,1,
"Superior no univ. completa (066)",10,,5,4,,1
"Superior univ. incompleta (067)",6,,1,5,,
"Superior univ. completa (068)",6,,5,1,,
"Hombres (070)",74,,41,23,7,3
"Sin nivel (071)",1,,,1,,
"Primaria (073)",21,,6,9,5,1
"Secundaria (074)",27,,22,3,1,1
"Superior no univ. incompleta (075)",7,,4,2,1,
"Superior no univ. completa (076)",6,,3,2,,1
"Superior univ. incompleta (077)",6,,1,5,,
"Superior univ. completa (078)",6,,5,1,,
"Mujeres (080)",17,,12,3,2,
"Sin nivel (081)",1,,,,1,
"Primaria (083)",5,,5,,,
"Secundaria (084)",6,,5,,1,
"Superior no univ. incompleta (085)",1,,,1,,
"Superior no univ. completa (086)",4,,2,2,,
