"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CUTERVO (000)",1635,703,932
"Sin nivel (001)",113,33,80
"Educación inicial (002)",6,4,2
"Primaria (003)",785,295,490
"Secundaria (004)",499,262,237
"Superior no univ. incompleta (005)",45,21,24
"Superior no univ. completa (006)",123,59,64
"Superior univ. incompleta (007)",17,6,11
"Superior univ. completa (008)",47,23,24
"De 14 a 29 años (010)",1010,557,453
"Sin nivel (011)",39,21,18
"Educación inicial (012)",4,2,2
"Primaria (013)",440,227,213
"Secundaria (014)",374,224,150
"Superior no univ. incompleta (015)",33,17,16
"Superior no univ. completa (016)",75,41,34
"Superior univ. incompleta (017)",12,5,7
"Superior univ. completa (018)",33,20,13
"De 30 a 44 años (020)",409,125,284
"Sin nivel (021)",31,10,21
"Educación inicial (022)",2,2,
"Primaria (023)",201,51,150
"Secundaria (024)",104,36,68
"Superior no univ. incompleta (025)",10,4,6
"Superior no univ. completa (026)",46,18,28
"Superior univ. incompleta (027)",4,1,3
"Superior univ. completa (028)",11,3,8
"De 45 a 64 años (030)",163,21,142
"Sin nivel (031)",28,2,26
"Primaria (033)",108,17,91
"Secundaria (034)",20,2,18
"Superior no univ. incompleta (035)",2,,2
"Superior no univ. completa (036)",2,,2
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",53,,53
"Sin nivel (041)",15,,15
"Primaria (043)",36,,36
"Secundaria (044)",1,,1
"Superior univ. incompleta (047)",1,,1
,,,
"AREA URBANA (050)",714,272,442
"Sin nivel (051)",34,12,22
"Educación inicial (052)",5,4,1
"Primaria (053)",216,51,165
"Secundaria (054)",259,115,144
"Superior no univ. incompleta (055)",33,14,19
"Superior no univ. completa (056)",111,53,58
"Superior univ. incompleta (057)",15,4,11
"Superior univ. completa (058)",41,19,22
"De 14 a 29 años (060)",407,205,202
"Sin nivel (061)",10,7,3
"Educación inicial (062)",3,2,1
"Primaria (063)",83,34,49
"Secundaria (064)",181,94,87
"Superior no univ. incompleta (065)",25,12,13
"Superior no univ. completa (066)",65,36,29
"Superior univ. incompleta (067)",11,4,7
"Superior univ. completa (068)",29,16,13
"De 30 a 44 años (070)",213,62,151
"Sin nivel (071)",10,5,5
"Educación inicial (072)",2,2,
"Primaria (073)",74,14,60
"Secundaria (074)",64,19,45
"Superior no univ. incompleta (075)",7,2,5
"Superior no univ. completa (076)",44,17,27
"Superior univ. incompleta (077)",3,,3
"Superior univ. completa (078)",9,3,6
"De 45 a 64 años (080)",65,5,60
"Sin nivel (081)",7,,7
"Primaria (083)",39,3,36
"Secundaria (084)",13,2,11
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",2,,2
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",29,,29
"Sin nivel (091)",7,,7
"Primaria (093)",20,,20
"Secundaria (094)",1,,1
"Superior univ. incompleta (097)",1,,1
,,,
"AREA RURAL (100)",921,431,490
"Sin nivel (101)",79,21,58
"Educación inicial (102)",1,,1
"Primaria (103)",569,244,325
"Secundaria (104)",240,147,93
"Superior no univ. incompleta (105)",12,7,5
"Superior no univ. completa (106)",12,6,6
"Superior univ. incompleta (107)",2,2,
"Superior univ. completa (108)",6,4,2
"De 14 a 29 años (110)",603,352,251
"Sin nivel (111)",29,14,15
"Educación inicial (112)",1,,1
"Primaria (113)",357,193,164
"Secundaria (114)",193,130,63
"Superior no univ. incompleta (115)",8,5,3
"Superior no univ. completa (116)",10,5,5
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",4,4,
"De 30 a 44 años (120)",196,63,133
"Sin nivel (121)",21,5,16
"Primaria (123)",127,37,90
"Secundaria (124)",40,17,23
"Superior no univ. incompleta (125)",3,2,1
"Superior no univ. completa (126)",2,1,1
"Superior univ. incompleta (127)",1,1,
"Superior univ. completa (128)",2,,2
"De 45 a 64 años (130)",98,16,82
"Sin nivel (131)",21,2,19
"Primaria (133)",69,14,55
"Secundaria (134)",7,,7
"Superior no univ. incompleta (135)",1,,1
"De 65 y más años (140)",24,,24
"Sin nivel (141)",8,,8
"Primaria (143)",16,,16
