"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAMPA (000)",18504,48269,42453,,723,88,1.5
"De 12 a 14 años (001)",1686,15,14,,2,93.3,13.3
"De 15 a 19 años (002)",2432,307,290,99,94.5,32.2,
"De 20 a 24 años (003)",2165,1528,1475,219,96.5,14.3,
"De 25 a 29 años (004)",1870,2718,2583,158,95,5.8,
"De 30 a 34 años (005)",1569,3512,3297,108,93.9,3.1,
"De 35 a 39 años (006)",1561,4771,4449,94,93.3,2,
"De 40 a 44 años (007)",1329,5230,4805,39,91.9,0.7,
"De 45 a 49 años (008)",1155,5224,4740,4,90.7,0.1,
"De 50 y más años (009)",4737,24964,20800,,83.3,,
"Sin nivel (010)",2756,14105,11518,16,81.7,0.1,
"De 12 a 14 años (011)",6,,,,,,
"De 15 a 19 años (012)",30,3,2,2,66.7,66.7,
"De 20 a 24 años (013)",23,10,9,,90,,
"De 25 a 29 años (014)",38,71,61,3,85.9,4.2,
"De 30 a 34 años (015)",48,114,109,3,95.6,2.6,
"De 35 a 39 años (016)",71,231,212,5,91.8,2.2,
"De 40 a 44 años (017)",97,416,371,2,89.2,0.5,
"De 45 a 49 años (018)",130,642,590,1,91.9,0.2,
"De 50 y más años (019)",2313,12618,10164,,80.6,,
"Educacion Inicial (020)",19,30,30,1,100,3.3,
"De 12 a 14 años (021)",3,,,,,,
"De 20 a 24 años (023)",2,3,3,,100,,
"De 25 a 29 años (024)",4,7,7,,100,,
"De 30 a 34 años (025)",5,11,11,,100,,
"De 35 a 39 años (026)",5,9,9,1,100,11.1,
"Primaria (030)",8092,26725,23888,315,89.4,1.2,
"De 12 a 14 años (031)",766,5,5,1,100,20,
"De 15 a 19 años (032)",418,109,100,35,91.7,32.1,
"De 20 a 24 años (033)",580,592,566,70,95.6,11.8,
"De 25 a 29 años (034)",688,1325,1258,68,94.9,5.1,
"De 30 a 34 años (035)",779,2108,1959,57,92.9,2.7,
"De 35 a 39 años (036)",926,3197,2958,53,92.5,1.7,
"De 40 a 44 años (037)",937,4015,3676,28,91.6,0.7,
"De 45 a 49 años (038)",805,3854,3479,3,90.3,0.1,
"De 50 y más años (039)",2193,11520,9887,,85.8,,
"Secundaria (040)",5988,5966,5629,315,94.4,5.3,
