"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LA UNION (000)",106,30,76
"Sin nivel (001)",16,,16
"Primaria (003)",37,13,24
"Secundaria (004)",27,8,19
"Superior no univ. incompleta (005)",5,1,4
"Superior no univ. completa (006)",10,6,4
"Superior univ. incompleta (007)",3,1,2
"Superior univ. completa (008)",8,1,7
"Hombres (010)",78,19,59
"Sin nivel (011)",10,,10
"Primaria (013)",26,9,17
"Secundaria (014)",23,5,18
"Superior no univ. incompleta (015)",4,1,3
"Superior no univ. completa (016)",6,2,4
"Superior univ. incompleta (017)",3,1,2
"Superior univ. completa (018)",6,1,5
"Mujeres (020)",28,11,17
"Sin nivel (021)",6,,6
"Primaria (023)",11,4,7
"Secundaria (024)",4,3,1
"Superior no univ. incompleta (025)",1,,1
"Superior no univ. completa (026)",4,4,
"Superior univ. completa (028)",2,,2
,,,
"AREA URBANA (030)",73,14,59
"Sin nivel (031)",13,,13
"Primaria (033)",20,2,18
"Secundaria (034)",20,5,15
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",9,6,3
"Superior univ. incompleta (037)",2,1,1
"Superior univ. completa (038)",5,,5
"Hombres (040)",50,7,43
"Sin nivel (041)",7,,7
"Primaria (043)",13,1,12
"Secundaria (044)",17,3,14
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",5,2,3
"Superior univ. incompleta (047)",2,1,1
"Superior univ. completa (048)",3,,3
"Mujeres (050)",23,7,16
"Sin nivel (051)",6,,6
"Primaria (053)",7,1,6
"Secundaria (054)",3,2,1
"Superior no univ. incompleta (055)",1,,1
"Superior no univ. completa (056)",4,4,
"Superior univ. completa (058)",2,,2
,,,
"AREA RURAL (060)",33,16,17
"Sin nivel (061)",3,,3
"Primaria (063)",17,11,6
"Secundaria (064)",7,3,4
"Superior no univ. incompleta (065)",1,1,
"Superior no univ. completa (066)",1,,1
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",3,1,2
"Hombres (070)",28,12,16
"Sin nivel (071)",3,,3
"Primaria (073)",13,8,5
"Secundaria (074)",6,2,4
"Superior no univ. incompleta (075)",1,1,
"Superior no univ. completa (076)",1,,1
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",3,1,2
"Mujeres (080)",5,4,1
"Primaria (083)",4,3,1
"Secundaria (084)",1,1,
