"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PARINACOCHAS (000)",7887,7663,81,1278,1381,1168,1770,1144,601,240,224,30353
"De 12 a 14 años (001)",7,3,1,2,,,,,,,4,2
"De 15 a 19 años (002)",218,196,6,165,24,,1,,,,22,217
"De 20 a 24 años (003)",778,707,13,386,254,43,11,,,,71,1070
"De 25 a 29 años (004)",815,773,6,232,262,165,98,7,3,,42,1734
"De 30 a 34 años (005)",861,839,7,124,239,207,203,54,4,1,22,2492
"De 35 a 39 años (006)",836,816,1,73,154,178,288,87,32,3,20,3018
"De 40 a 44 años (007)",746,740,3,62,97,122,228,151,59,18,6,3278
"De 45 a 49 años (008)",601,600,3,40,63,97,169,133,67,28,1,2939
"De 50 y más años (009)",3025,2989,41,194,288,356,772,712,436,190,36,15603
"Conviviente (010)",2496,2445,23,577,635,451,446,195,96,22,51,7422
"De 12 a 14 años (011)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (012)",130,112,2,93,16,,1,,,,18,129
"De 20 a 24 años (013)",467,459,8,233,178,34,6,,,,8,716
"De 25 a 29 años (014)",482,472,1,132,174,106,55,3,1,,10,1058
"De 30 a 34 años (015)",435,431,4,44,135,126,96,23,2,1,4,1279
"De 35 a 39 años (016)",316,312,,19,62,84,110,29,7,1,4,1120
"De 40 a 44 años (017)",222,221,2,14,27,37,66,47,25,3,1,1008
"De 45 a 49 años (018)",141,141,,11,19,21,46,27,15,2,,639
"De 50 y más años (019)",299,295,6,29,24,43,66,66,46,15,4,1471
"Separado(a) (020)",330,328,3,66,80,43,73,38,21,4,2,1137
"De 15 a 19 años (022)",11,11,,11,,,,,,,,11
"De 20 a 24 años (023)",28,28,,15,11,1,1,,,,,44
"De 25 a 29 años (024)",47,47,2,23,15,3,3,,1,,,83
