"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia CALCA",,,,,,,,,
"Viviendas particulares (001)",16264,439,13258,110,17,30,2333,8,69
"Ocupantes presentes (002)",64469,1714,52802,373,64,101,9159,28,228
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",14283,396,12052,97,15,19,1655,7,42
"Ocupantes presentes (005)",56859,1588,48256,330,58,62,6393,24,148
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",22,6,16,,,,,,
"Ocupantes presentes (008)",64,18,46,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",36,2,34,,,,,,
"Ocupantes presentes (011)",157,6,151,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",445,30,411,2,1,,,1,
"Ocupantes presentes (014)",1403,75,1318,2,4,,,4,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1439,,733,8,1,11,676,,10
"Ocupantes presentes (017)",5871,,3009,34,2,39,2757,,30
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",18,,,3,,,,,15
"Ocupantes presentes (020)",49,,,7,,,,,42
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",19,5,12,,,,2,,
"Ocupantes presentes (023)",58,27,22,,,,9,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5701,350,4905,24,8,7,378,6,23
"Ocupantes presentes (029)",22287,1382,19329,74,28,24,1354,19,77
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5165,307,4435,19,7,7,378,5,7
"Ocupantes presentes (032)",20570,1256,17800,65,24,24,1354,15,32
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",22,6,16,,,,,,
"Ocupantes presentes (035)",64,18,46,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",36,2,34,,,,,,
"Ocupantes presentes (038)",157,6,151,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",445,30,411,2,1,,,1,
"Ocupantes presentes (041)",1403,75,1318,2,4,,,4,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",18,,,3,,,,,15
"Ocupantes presentes (047)",49,,,7,,,,,42
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",14,5,9,,,,,,
"Ocupantes presentes (050)",41,27,14,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",3,,,,,,,,3
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",10563,89,8353,86,9,23,1955,2,46
"Ocupantes presentes (056)",42182,332,33473,299,36,77,7805,9,151
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",9118,89,7617,78,8,12,1277,2,35
"Ocupantes presentes (059)",36289,332,30456,265,34,38,5039,9,116
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1439,,733,8,1,11,676,,10
"Ocupantes presentes (071)",5871,,3009,34,2,39,2757,,30
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,3,,,,2,,
"Ocupantes presentes (077)",17,,8,,,,9,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",5,,,,,,,,5
