"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONTRALMIRANTE VILLAR (000)",335,76,259
"Sin nivel (001)",7,1,6
"Educación inicial (002)",2,2,
"Primaria (003)",107,15,92
"Secundaria (004)",156,41,115
"Superior no univ. incompleta (005)",13,5,8
"Superior no univ. completa (006)",27,7,20
"Superior univ. incompleta (007)",10,1,9
"Superior univ. completa (008)",13,4,9
"Hombres (010)",268,49,219
"Sin nivel (011)",6,1,5
"Educación inicial (012)",1,1,
"Primaria (013)",89,10,79
"Secundaria (014)",131,29,102
"Superior no univ. incompleta (015)",7,2,5
"Superior no univ. completa (016)",16,3,13
"Superior univ. incompleta (017)",8,,8
"Superior univ. completa (018)",10,3,7
"Mujeres (020)",67,27,40
"Sin nivel (021)",1,,1
"Educación inicial (022)",1,1,
"Primaria (023)",18,5,13
"Secundaria (024)",25,12,13
"Superior no univ. incompleta (025)",6,3,3
"Superior no univ. completa (026)",11,4,7
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",3,1,2
,,,
"AREA URBANA (030)",238,61,177
"Sin nivel (031)",4,1,3
"Educación inicial (032)",2,2,
"Primaria (033)",61,11,50
"Secundaria (034)",112,32,80
"Superior no univ. incompleta (035)",10,4,6
"Superior no univ. completa (036)",27,7,20
"Superior univ. incompleta (037)",10,1,9
"Superior univ. completa (038)",12,3,9
"Hombres (040)",175,38,137
"Sin nivel (041)",3,1,2
"Educación inicial (042)",1,1,
"Primaria (043)",43,6,37
"Secundaria (044)",89,22,67
"Superior no univ. incompleta (045)",5,2,3
"Superior no univ. completa (046)",16,3,13
"Superior univ. incompleta (047)",8,,8
"Superior univ. completa (048)",10,3,7
"Mujeres (050)",63,23,40
"Sin nivel (051)",1,,1
"Educación inicial (052)",1,1,
"Primaria (053)",18,5,13
"Secundaria (054)",23,10,13
"Superior no univ. incompleta (055)",5,2,3
"Superior no univ. completa (056)",11,4,7
"Superior univ. incompleta (057)",2,1,1
"Superior univ. completa (058)",2,,2
,,,
"AREA RURAL (060)",97,15,82
"Sin nivel (061)",3,,3
"Primaria (063)",46,4,42
"Secundaria (064)",44,9,35
"Superior no univ. incompleta (065)",3,1,2
"Superior univ. completa (068)",1,1,
"Hombres (070)",93,11,82
"Sin nivel (071)",3,,3
"Primaria (073)",46,4,42
"Secundaria (074)",42,7,35
"Superior no univ. incompleta (075)",2,,2
"Mujeres (080)",4,4,
"Secundaria (084)",2,2,
"Superior no univ. incompleta (085)",1,1,
"Superior univ. completa (088)",1,1,
