"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AZANGARO (000)",38599,3795,3792,19065,205,11344,398
"Sin nivel (001)",4841,24,211,2408,12,2143,43
"Educación inicial (002)",15,,,7,,8,
"Primaria (003)",16210,161,1333,9001,77,5490,148
"Secundaria (004)",12354,597,1850,6285,94,3348,180
"Superior no univ. incompleta (005)",1020,293,140,432,7,135,13
"Superior no univ. completa (006)",2206,1411,150,525,6,108,6
"Superior univ. incompleta (007)",505,228,58,165,4,46,4
"Superior univ. completa (008)",1448,1081,50,242,5,66,4
"Hombres (010)",22914,2654,3066,12749,139,4279,27
"Sin nivel (011)",1367,7,66,907,4,382,1
"Educación inicial (012)",7,,,4,,3,
"Primaria (013)",9005,89,979,6158,47,1723,9
"Secundaria (014)",8763,415,1646,4690,71,1927,14
"Superior no univ. incompleta (015)",759,208,134,319,5,92,1
"Superior no univ. completa (016)",1555,992,140,348,4,71,
"Superior univ. incompleta (017)",387,170,53,127,3,33,1
"Superior univ. completa (018)",1071,773,48,196,5,48,1
"Mujeres (020)",15685,1141,726,6316,66,7065,371
"Sin nivel (021)",3474,17,145,1501,8,1761,42
"Educación inicial (022)",8,,,3,,5,
"Primaria (023)",7205,72,354,2843,30,3767,139
"Secundaria (024)",3591,182,204,1595,23,1421,166
"Superior no univ. incompleta (025)",261,85,6,113,2,43,12
"Superior no univ. completa (026)",651,419,10,177,2,37,6
"Superior univ. incompleta (027)",118,58,5,38,1,13,3
"Superior univ. completa (028)",377,308,2,46,,18,3
,,,,,,,
"URBANA (030)",9655,2810,1391,4244,60,964,186
"Sin nivel (031)",472,18,42,293,1,101,17
"Educación inicial (032)",3,,,2,,1,
"Primaria (033)",2283,82,362,1429,14,333,63
"Secundaria (034)",3264,337,702,1716,29,395,85
"Superior no univ. incompleta (035)",598,214,97,224,6,47,10
"Superior no univ. completa (036)",1614,1099,108,352,5,45,5
"Superior univ. incompleta (037)",342,186,42,89,2,20,3
"Superior univ. completa (038)",1079,874,38,139,3,22,3
"Hombres (040)",5862,1859,1240,2305,42,402,14
"Sin nivel (041)",132,5,17,89,,21,
"Educación inicial (042)",3,,,2,,1,
"Primaria (043)",1171,41,304,702,7,115,2
"Secundaria (044)",2093,221,648,1003,24,188,9
"Superior no univ. incompleta (045)",404,141,93,140,4,25,1
"Superior no univ. completa (046)",1055,719,102,204,3,27,
"Superior univ. incompleta (047)",250,135,38,62,1,13,1
"Superior univ. completa (048)",754,597,38,103,3,12,1
"Mujeres (050)",3793,951,151,1939,18,562,172
"Sin nivel (051)",340,13,25,204,1,80,17
"Primaria (053)",1112,41,58,727,7,218,61
"Secundaria (054)",1171,116,54,713,5,207,76
"Superior no univ. incompleta (055)",194,73,4,84,2,22,9
"Superior no univ. completa (056)",559,380,6,148,2,18,5
"Superior univ. incompleta (057)",92,51,4,27,1,7,2
"Superior univ. completa (058)",325,277,,36,,10,2
,,,,,,,
"RURAL (060)",28944,985,2401,14821,145,10380,212
"Sin nivel (061)",4369,6,169,2115,11,2042,26
"Educación inicial (062)",12,,,5,,7,
"Primaria (063)",13927,79,971,7572,63,5157,85
"Secundaria (064)",9090,260,1148,4569,65,2953,95
"Superior no univ. incompleta (065)",422,79,43,208,1,88,3
"Superior no univ. completa (066)",592,312,42,173,1,63,1
"Superior univ. incompleta (067)",163,42,16,76,2,26,1
"Superior univ. completa (068)",369,207,12,103,2,44,1
"Hombres (070)",17052,795,1826,10444,97,3877,13
"Sin nivel (071)",1235,2,49,818,4,361,1
"Educación inicial (072)",4,,,2,,2,
"Primaria (073)",7834,48,675,5456,40,1608,7
"Secundaria (074)",6670,194,998,3687,47,1739,5
"Superior no univ. incompleta (075)",355,67,41,179,1,67,
"Superior no univ. completa (076)",500,273,38,144,1,44,
"Superior univ. incompleta (077)",137,35,15,65,2,20,
"Superior univ. completa (078)",317,176,10,93,2,36,
"Mujeres (080)",11892,190,575,4377,48,6503,199
"Sin nivel (081)",3134,4,120,1297,7,1681,25
"Educación inicial (082)",8,,,3,,5,
"Primaria (083)",6093,31,296,2116,23,3549,78
"Secundaria (084)",2420,66,150,882,18,1214,90
"Superior no univ. incompleta (085)",67,12,2,29,,21,3
"Superior no univ. completa (086)",92,39,4,29,,19,1
"Superior univ. incompleta (087)",26,7,1,11,,6,1
"Superior univ. completa (088)",52,31,2,10,,8,1
