"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PURUS (000)",1894,903,2,49,834,12,2,2,24,66
"Hombres (001)",755,498,1,35,151,7,2,2,24,35
"Mujeres (002)",1139,405,1,14,683,5,,,,31
"De 06 a 14 años (003)",785,656,,,57,9,1,,,62
"Hombres (004)",408,347,,,24,4,1,,,32
"Mujeres (005)",377,309,,,33,5,,,,30
"De 15 a 29 años (006)",641,236,,17,360,,,1,24,3
"Hombres (007)",236,146,,13,50,,,1,24,2
"Mujeres (008)",405,90,,4,310,,,,,1
"De 30 a 44 años (009)",269,10,,20,236,,1,1,,1
"Hombres (010)",64,5,,14,42,,1,1,,1
"Mujeres (011)",205,5,,6,194,,,,,
"De 45 a 64 años (012)",142,1,1,7,133,,,,,
"Hombres (013)",27,,1,5,21,,,,,
"Mujeres (014)",115,1,,2,112,,,,,
"De 65 y más años (015)",57,,1,5,48,3,,,,
"Hombres (016)",20,,,3,14,3,,,,
"Mujeres (017)",37,,1,2,34,,,,,
,,,,,,,,,,
"AREA URBANA (018)",542,248,1,23,230,1,1,,24,14
"Hombres (019)",241,134,,10,62,,1,,24,10
"Mujeres (020)",301,114,1,13,168,1,,,,4
"De 06 a 14 años (021)",216,184,,,21,1,,,,10
"Hombres (022)",119,103,,,9,,,,,7
"Mujeres (023)",97,81,,,12,1,,,,3
"De 15 a 29 años (024)",201,59,,7,108,,,,24,3
"Hombres (025)",81,30,,3,22,,,,24,2
"Mujeres (026)",120,29,,4,86,,,,,1
"De 30 a 44 años (027)",75,5,,9,59,,1,,,1
"Hombres (028)",24,1,,3,18,,1,,,1
"Mujeres (029)",51,4,,6,41,,,,,
"De 45 a 64 años (030)",37,,,4,33,,,,,
"Hombres (031)",11,,,2,9,,,,,
"Mujeres (032)",26,,,2,24,,,,,
"De 65 y más años (033)",13,,1,3,9,,,,,
"Hombres (034)",6,,,2,4,,,,,
"Mujeres (035)",7,,1,1,5,,,,,
,,,,,,,,,,
"AREA RURAL (036)",1352,655,1,26,604,11,1,2,,52
"Hombres (037)",514,364,1,25,89,7,1,2,,25
"Mujeres (038)",838,291,,1,515,4,,,,27
"De 06 a 14 años (039)",569,472,,,36,8,1,,,52
"Hombres (040)",289,244,,,15,4,1,,,25
"Mujeres (041)",280,228,,,21,4,,,,27
"De 15 a 29 años (042)",440,177,,10,252,,,1,,
"Hombres (043)",155,116,,10,28,,,1,,
"Mujeres (044)",285,61,,,224,,,,,
"De 30 a 44 años (045)",194,5,,11,177,,,1,,
"Hombres (046)",40,4,,11,24,,,1,,
"Mujeres (047)",154,1,,,153,,,,,
"De 45 a 64 años (048)",105,1,1,3,100,,,,,
"Hombres (049)",16,,1,3,12,,,,,
"Mujeres (050)",89,1,,,88,,,,,
"De 65 y más años (051)",44,,,2,39,3,,,,
"Hombres (052)",14,,,1,10,3,,,,
"Mujeres (053)",30,,,1,29,,,,,
