"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARMEY (000)",10485,7213,990,889,1393
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",23,1,,5,17
"Profes., científicos e intelectuales (002)",710,193,110,189,218
"Técnicos de nivel medio y trab. asimilados (003)",360,184,32,47,97
"Jefes y empleados de oficina (004)",419,73,30,40,276
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1498,1303,100,67,28
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1948,1757,133,35,23
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",709,400,50,99,160
"Obreros construc.,conf.,papel, fab., instr. (008)",1287,979,90,76,142
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3141,2095,411,296,339
"Otra (010)",43,,,,43
"Ocupación no especificada (011)",347,228,34,35,50
"Hombres (012)",7547,5166,724,672,985
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,1,,5,13
"Profes., científicos e intelectuales (014)",341,84,53,87,117
"Técnicos de nivel medio y trab. asimilados (015)",235,121,25,34,55
"Jefes y empleados de oficina (016)",219,30,17,28,144
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",609,476,51,61,21
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1850,1680,122,32,16
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",585,320,48,93,124
"Obreros construc.,conf.,papel, fab., instr. (020)",1247,949,87,74,137
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2218,1399,310,229,280
"Otra (022)",41,,,,41
"Ocupación no especificada (023)",183,106,11,29,37
"Mujeres (024)",2938,2047,266,217,408
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,,,4
"Profes., científicos e intelectuales (026)",369,109,57,102,101
"Técnicos de nivel medio y trab. asimilados (027)",125,63,7,13,42
"Jefes y empleados de oficina (028)",200,43,13,12,132
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",889,827,49,6,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",98,77,11,3,7
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",124,80,2,6,36
"Obreros construc.,conf.,papel, fab., instr. (032)",40,30,3,2,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",923,696,101,67,59
