"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 45 a 49 años (048)",1476,,,8,185,754,334,195
"De 50 y más años (049)",6223,148,528,1236,1803,1093,85,1330
,,,,,,,,
"URBANA (060)",5985,47,192,440,709,1174,1799,1624
"De 12 a 14 años (061)",12,,,,,,,12
"De 15 a 19 años (062)",125,,,,,,70,55
"De 20 a 24 años (063)",518,,,,,2,288,228
"De 25 a 29 años (064)",636,,,,,36,389,211
"De 30 a 34 años (065)",703,,,,,110,419,174
"De 35 a 39 años (066)",728,,,,12,224,339,153
"De 40 a 44 años (067)",628,,,,54,268,186,120
"De 45 a 49 años (068)",549,,,7,88,251,90,113
"De 50 y más años (069)",2086,47,192,433,555,283,18,558
"PEA (070)",2066,4,26,103,231,480,658,564
"De 15 a 19 años (072)",24,,,,,,14,10
"De 20 a 24 años (073)",150,,,,,1,82,67
"De 25 a 29 años (074)",248,,,,,21,124,103
"De 30 a 34 años (075)",320,,,,,48,191,81
"De 35 a 39 años (076)",305,,,,8,96,133,68
"De 40 a 44 años (077)",277,,,,21,123,76,57
"De 45 a 49 años (078)",218,,,2,39,95,31,51
"De 50 y más años (079)",524,4,26,101,163,96,7,127
"Ocupada (080)",2011,4,26,101,229,476,634,541
"De 15 a 19 años (082)",21,,,,,,12,9
"De 20 a 24 años (083)",139,,,,,1,76,62
"De 25 a 29 años (084)",236,,,,,21,117,98
"De 30 a 34 años (085)",312,,,,,47,186,79
"De 35 a 39 años (086)",297,,,,8,94,130,65
"De 40 a 44 años (087)",276,,,,21,123,75,57
"De 45 a 49 años (088)",216,,,2,39,95,31,49
"De 50 y más años (089)",514,4,26,99,161,95,7,122
"Desocupada (090)",55,,,2,2,4,24,23
"De 15 a 19 años (092)",3,,,,,,2,1
"De 20 a 24 años (093)",11,,,,,,6,5
"De 25 a 29 años (094)",12,,,,,,7,5
"De 30 a 34 años (095)",8,,,,,1,5,2
"De 35 a 39 años (096)",8,,,,,2,3,3
"De 40 a 44 años (097)",1,,,,,,1,
"De 45 a 49 años (098)",2,,,,,,,2
"De 50 y más años (099)",10,,,2,2,1,,5
"No PEA (100)",3919,43,166,337,478,694,1141,1060
"De 12 a 14 años (101)",12,,,,,,,12
"De 15 a 19 años (102)",101,,,,,,56,45
"De 20 a 24 años (103)",368,,,,,1,206,161
"De 25 a 29 años (104)",388,,,,,15,265,108
"De 30 a 34 años (105)",383,,,,,62,228,93
"De 35 a 39 años (106)",423,,,,4,128,206,85
"De 40 a 44 años (107)",351,,,,33,145,110,63
"De 45 a 49 años (108)",331,,,5,49,156,59,62
"De 50 y más años (109)",1562,43,166,332,392,187,11,431
,,,,,,,,
"RURAL (120)",16729,108,384,1031,1859,3320,6736,3291
"De 12 a 14 años (121)",27,,,,,,4,23
"De 15 a 19 años (122)",602,,,,,,400,202
"De 20 a 24 años (123)",1967,,,,,6,1337,624
"De 25 a 29 años (124)",2052,,,,,105,1492,455
"De 30 a 34 años (125)",2070,,,,2,342,1387,339
"De 35 a 39 años (126)",1876,,,,17,582,1041,236
"De 40 a 44 años (127)",1540,,,,82,590,650,218
"De 45 a 49 años (128)",1348,,,4,163,676,338,167
"De 50 y más años (129)",5247,108,384,1027,1595,1019,87,1027
"PEA (130)",2274,3,22,124,231,425,922,547
"De 12 a 14 años (131)",7,,,,,,1,6
"De 15 a 19 años (132)",81,,,,,,59,22
"De 20 a 24 años (133)",269,,,,,,180,89
"De 25 a 29 años (134)",329,,,,,21,209,99
"De 30 a 34 años (135)",293,,,,1,44,178,70
"De 35 a 39 años (136)",283,,,,1,95,131,56
"De 40 a 44 años (137)",223,,,,18,74,88,43
"De 45 a 49 años (138)",203,,,1,27,78,63,34
"De 50 y más años (139)",586,3,22,123,184,113,13,128
"Ocupada (140)",2242,3,22,123,230,421,908,535
"De 12 a 14 años (141)",7,,,,,,1,6
"De 15 a 19 años (142)",79,,,,,,59,20
"De 20 a 24 años (143)",262,,,,,,177,85
"De 25 a 29 años (144)",324,,,,,21,205,98
"De 30 a 34 años (145)",287,,,,1,44,174,68
"De 35 a 39 años (146)",279,,,,1,94,130,54
"De 40 a 44 años (147)",222,,,,18,74,88,42
"De 45 a 49 años (148)",200,,,1,27,77,61,34
"De 50 y más años (149)",582,3,22,122,183,111,13,128
"Desocupada (150)",32,,,1,1,4,14,12
"De 15 a 19 años (152)",2,,,,,,,2
"De 20 a 24 años (153)",7,,,,,,3,4
"De 25 a 29 años (154)",5,,,,,,4,1
"De 30 a 34 años (155)",6,,,,,,4,2
"De 35 a 39 años (156)",4,,,,,1,1,2
"De 40 a 44 años (157)",1,,,,,,,1
"De 45 a 49 años (158)",3,,,,,1,2,
"De 50 y más años (159)",4,,,1,1,2,,
"No PEA (160)",14455,105,362,907,1628,2895,5814,2744
"De 12 a 14 años (161)",20,,,,,,3,17
"De 15 a 19 años (162)",521,,,,,,341,180
"De 20 a 24 años (163)",1698,,,,,6,1157,535
"De 25 a 29 años (164)",1723,,,,,84,1283,356
"De 30 a 34 años (165)",1777,,,,1,298,1209,269
"De 35 a 39 años (166)",1593,,,,16,487,910,180
"De 40 a 44 años (167)",1317,,,,64,516,562,175
"De 45 a 49 años (168)",1145,,,3,136,598,275,133
"De 50 y más años (169)",4661,105,362,904,1411,906,74,899
