"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LORETO (000)",13193,12730,50,2253,2170,1809,2701,1935,1270,542,463,53183
"De 12 a 14 años (001)",51,22,,21,1,,,,,,29,23
"De 15 a 19 años (002)",1119,1015,12,756,216,26,5,,,,104,1286
"De 20 a 24 años (003)",2158,2031,12,747,773,358,128,13,,,127,3993
"De 25 a 29 años (004)",1932,1846,7,318,525,493,436,64,3,,86,5174
"De 30 a 34 años (005)",1647,1621,4,164,276,332,580,216,46,3,26,6075
"De 35 a 39 años (006)",1557,1533,2,88,156,212,544,359,143,29,24,7297
"De 40 a 44 años (007)",1215,1205,4,52,75,141,340,348,198,47,10,6587
"De 45 a 49 años (008)",975,966,2,29,62,75,195,256,247,100,9,6107
"De 50 y más años (009)",2539,2491,7,78,86,172,473,679,633,363,48,16641
"Sin nivel (010)",2049,1974,8,213,218,210,447,410,310,158,75,10312
"De 12 a 14 años (011)",7,1,,1,,,,,,,6,1
"De 15 a 19 años (012)",121,116,,76,33,5,2,,,,5,165
"De 20 a 24 años (013)",185,176,1,58,59,28,24,6,,,9,404
"De 25 a 29 años (014)",206,197,2,23,44,42,72,13,1,,9,647
"De 30 a 34 años (015)",170,166,,6,15,29,68,36,11,1,4,752
"De 35 a 39 años (016)",180,173,,7,15,24,44,50,25,8,7,938
"De 40 a 44 años (017)",156,152,1,12,17,11,34,46,24,7,4,814
"De 45 a 49 años (018)",166,162,,5,13,10,22,46,46,20,4,1072
"De 50 y más años (019)",858,831,4,25,22,61,181,213,203,122,27,5519
"Educacion Inicial (020)",16,16,,5,3,3,3,,2,,,50
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
