"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia QUISPICANCHI (000)",80362,27768,52594
"Casa independiente (001)",72953,27274,45679
"Departamento en edificio (002)",86,86,
"Vivienda en quinta (003)",105,105,
"Vivienda en casa de vecindad (004)",246,246,
"Choza o cabaña (005)",6812,,6812
"Vivienda improvisada (006)",19,19,
"Local no dest.para hab. humana (007)",64,37,27
"Otro tipo (008)",77,1,76
