"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia NAZCA (000)",55899,48937,6962
"Casa independiente (001)",51819,46021,5798
"Departamento en edificio (002)",361,361,
"Vivienda en quinta (003)",661,661,
"Vivienda en casa de vecindad (004)",509,509,
"Choza o cabaña (005)",1155,,1155
"Vivienda improvisada (006)",1005,1005,
"Local no dest.para hab. humana (007)",84,78,6
"Otro tipo (008)",305,302,3
