"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCAVELICA (000)",34730,177,632,1644,3448,6741,14026,8062
"De 12 a 14 años (001)",40,,,,,,4,36
"De 15 a 19 años (002)",981,,,,,,643,338
"De 20 a 24 años (003)",4373,,,,,9,2566,1798
"De 25 a 29 años (004)",4600,,,,,165,3027,1408
"De 30 a 34 años (005)",4286,,,,1,614,2787,884
"De 35 a 39 años (006)",3895,,,,23,1011,2316,545
"De 40 a 44 años (007)",3271,,,,109,1162,1554,446
"De 45 a 49 años (008)",2892,,,13,271,1368,922,318
"De 50 y más años (009)",10392,177,632,1631,3044,2412,207,2289
"Conviviente (010)",7309,4,13,30,129,777,4693,1663
"De 12 a 14 años (011)",22,,,,,,1,21
"De 15 a 19 años (012)",596,,,,,,395,201
"De 20 a 24 años (013)",1885,,,,,5,1336,544
"De 25 a 29 años (014)",1774,,,,,56,1299,419
"De 30 a 34 años (015)",1329,,,,,189,914,226
"De 35 a 39 años (016)",782,,,,4,196,474,108
"De 40 a 44 años (017)",392,,,,5,124,206,57
"De 45 a 49 años (018)",222,,,2,26,103,65,26
"De 50 y más años (019)",307,4,13,28,94,104,3,61
"Separado(a) (020)",2129,,12,55,142,503,879,538
"De 12 a 14 años (021)",4,,,,,,1,3
"De 15 a 19 años (022)",107,,,,,,71,36
"De 20 a 24 años (023)",356,,,,,,230,126
"De 25 a 29 años (024)",374,,,,,30,233,111
"De 30 a 34 años (025)",333,,,,,79,161,93
"De 35 a 39 años (026)",257,,,,5,102,93,57
"De 40 a 44 años (027)",205,,,,12,113,55,25
"De 45 a 49 años (028)",172,,,2,27,86,25,32
"De 50 y más años (029)",321,,12,53,98,93,10,55
"Casado(a) (030)",17517,27,166,767,2113,4557,7419,2468
"De 12 a 14 años (031)",7,,,,,,,7
"De 15 a 19 años (032)",149,,,,,,99,50
"De 20 a 24 años (033)",956,,,,,3,734,219
"De 25 a 29 años (034)",1536,,,,,41,1251,244
"De 30 a 34 años (035)",2050,,,,,259,1537,254
"De 35 a 39 años (036)",2470,,,,10,610,1624,226
"De 40 a 44 años (037)",2297,,,,57,795,1203,242
"De 45 a 49 años (038)",2124,,,3,154,1013,782,172
"De 50 y más años (039)",5928,27,166,764,1892,1836,189,1054
"Viudo(a) (040)",4211,142,421,744,933,584,281,1106
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",4,,,,,,2,2
"De 20 a 24 años (043)",15,,,,,,8,7
"De 25 a 29 años (044)",53,,,,,3,39,11
"De 30 a 34 años (045)",97,,,,,17,62,18
"De 35 a 39 años (046)",116,,,,,33,69,14
"De 40 a 44 años (047)",181,,,,18,71,55,37
