"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHINCHEROS (000)",47959,2638,6342,7657,5210,6338,6021,9531,4222
"Sabe leer y escribir (001)",36166,,4728,7593,5152,6091,5266,6083,1253
"No sabe leer y escribir (002)",11793,2638,1614,64,58,247,755,3448,2969
"Hombres (004)",23808,1328,3215,3891,2744,3008,2880,4731,2011
"Sabe leer y escribir (005)",19536,,2396,3858,2717,2935,2726,3898,1006
"No sabe leer y escribir (006)",4272,1328,819,33,27,73,154,833,1005
"Mujeres (008)",24151,1310,3127,3766,2466,3330,3141,4800,2211
"Sabe leer y escribir (009)",16630,,2332,3735,2435,3156,2540,2185,247
"No sabe leer y escribir (010)",7521,1310,795,31,31,174,601,2615,1964
,,,,,,,,,
"URBANA (012)",15523,849,2021,2406,1652,2056,2352,3112,1075
"Sabe leer y escribir (013)",12585,,1595,2394,1639,2012,2165,2347,433
"No sabe leer y escribir (014)",2938,849,426,12,13,44,187,765,642
"Hombres (016)",7656,423,1016,1177,857,944,1140,1592,507
"Sabe leer y escribir (017)",6612,,799,1172,849,927,1096,1448,321
"No sabe leer y escribir (018)",1044,423,217,5,8,17,44,144,186
"Mujeres (020)",7867,426,1005,1229,795,1112,1212,1520,568
"Sabe leer y escribir (021)",5973,,796,1222,790,1085,1069,899,112
"No sabe leer y escribir (022)",1894,426,209,7,5,27,143,621,456
,,,,,,,,,
"RURAL (024)",32436,1789,4321,5251,3558,4282,3669,6419,3147
"Sabe leer y escribir (025)",23581,,3133,5199,3513,4079,3101,3736,820
"No sabe leer y escribir (026)",8855,1789,1188,52,45,203,568,2683,2327
"Hombres (028)",16152,905,2199,2714,1887,2064,1740,3139,1504
"Sabe leer y escribir (029)",12924,,1597,2686,1868,2008,1630,2450,685
"No sabe leer y escribir (030)",3228,905,602,28,19,56,110,689,819
"Mujeres (032)",16284,884,2122,2537,1671,2218,1929,3280,1643
"Sabe leer y escribir (033)",10657,,1536,2513,1645,2071,1471,1286,135
"No sabe leer y escribir (034)",5627,884,586,24,26,147,458,1994,1508
