"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BONGARA (000)",251,10,132,72,30,7
"Conviviente (001)",60,,25,29,5,1
"Separado(a) (002)",6,,1,2,2,1
"Casado(a) (003)",53,,3,29,19,2
"Viudo(a) (004)",3,,,,1,2
"Divorciado(a) (005)",2,,1,,,1
"Soltero(a) (006)",127,10,102,12,3,
"Hombres (008)",183,6,96,53,23,5
"Conviviente (009)",48,,19,24,4,1
"Separado(a) (010)",6,,1,2,2,1
"Casado(a) (011)",33,,,18,13,2
"Viudo(a) (012)",2,,,,1,1
"Divorciado(a) (013)",1,,1,,,
"Soltero(a) (014)",93,6,75,9,3,
"Mujeres (016)",68,4,36,19,7,2
"Conviviente (017)",12,,6,5,1,
"Casado(a) (019)",20,,3,11,6,
"Viudo(a) (020)",1,,,,,1
"Divorciado(a) (021)",1,,,,,1
"Soltero(a) (022)",34,4,27,3,,
,,,,,,
"AREA URBANA (024)",197,8,101,54,27,7
"Conviviente (025)",43,,14,23,5,1
"Separado(a) (026)",5,,1,1,2,1
"Casado(a) (027)",40,,2,19,17,2
"Viudo(a) (028)",2,,,,,2
"Divorciado(a) (029)",2,,1,,,1
"Soltero(a) (030)",105,8,83,11,3,
"Hombres (032)",140,4,70,41,20,5
"Conviviente (033)",35,,10,20,4,1
"Separado(a) (034)",5,,1,1,2,1
"Casado(a) (035)",25,,,12,11,2
"Viudo(a) (036)",1,,,,,1
"Divorciado(a) (037)",1,,1,,,
"Soltero(a) (038)",73,4,58,8,3,
"Mujeres (040)",57,4,31,13,7,2
"Conviviente (041)",8,,4,3,1,
"Casado(a) (043)",15,,2,7,6,
"Viudo(a) (044)",1,,,,,1
"Divorciado(a) (045)",1,,,,,1
"Soltero(a) (046)",32,4,25,3,,
,,,,,,
"AREA RURAL (048)",54,2,31,18,3,
"Conviviente (049)",17,,11,6,,
"Separado(a) (050)",1,,,1,,
"Casado(a) (051)",13,,1,10,2,
"Viudo(a) (052)",1,,,,1,
"Soltero(a) (054)",22,2,19,1,,
"Hombres (056)",43,2,26,12,3,
"Conviviente (057)",13,,9,4,,
"Separado(a) (058)",1,,,1,,
"Casado(a) (059)",8,,,6,2,
"Viudo(a) (060)",1,,,,1,
"Soltero(a) (062)",20,2,17,1,,
"Mujeres (064)",11,,5,6,,
"Conviviente (065)",4,,2,2,,
"Casado(a) (067)",5,,1,4,,
"Soltero(a) (070)",2,,2,,,
