"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAYACAJA (000)",30831,27510,1918,546,857
"Sin nivel (001)",4404,4212,169,10,13
"Educación inicial (002)",51,45,4,2,
"Primaria (003)",13655,12870,677,52,56
"Secundaria (004)",10033,9062,602,135,234
"Superior no univ. incompleta (005)",521,372,60,26,63
"Superior no univ. completa (006)",752,383,114,76,179
"Superior univ. incompleta (007)",309,172,37,23,77
"Superior univ. completa (008)",1106,394,255,222,235
"De 06 a 14 años (010)",707,657,46,4,
"Sin nivel (011)",23,21,1,1,
"Educación inicial (012)",11,9,2,,
"Primaria (013)",499,463,34,2,
"Secundaria (014)",174,164,9,1,
"De 15 a 29 años (020)",9788,8700,640,129,319
"Sin nivel (021)",275,264,8,3,
"Educación inicial (022)",28,26,1,1,
"Primaria (023)",3543,3319,196,16,12
"Secundaria (024)",5056,4596,322,42,96
"Superior no univ. incompleta (025)",237,172,26,8,31
"Superior no univ. completa (026)",261,144,29,16,72
"Superior univ. incompleta (027)",132,76,16,11,29
"Superior univ. completa (028)",256,103,42,32,79
"De 30 a 44 años (030)",10199,8858,721,270,350
"Sin nivel (031)",938,893,39,2,4
"Educación inicial (032)",12,10,1,1,
"Primaria (033)",4777,4481,251,21,24
"Secundaria (034)",3210,2908,171,52,79
"Superior no univ. incompleta (035)",196,139,25,11,21
"Superior no univ. completa (036)",371,179,64,45,83
"Superior univ. incompleta (037)",107,57,11,7,32
"Superior univ. completa (038)",588,191,159,131,107
"De 45 a 64 años (040)",7741,6989,436,140,176
"Sin nivel (041)",1981,1887,84,4,6
"Primaria (043)",3802,3606,168,12,16
"Secundaria (044)",1444,1257,93,38,56
"Superior no univ. incompleta (045)",82,56,9,7,10
"Superior no univ. completa (046)",115,56,20,15,24
"Superior univ. incompleta (047)",67,37,9,5,16
"Superior univ. completa (048)",250,90,53,59,48
"De 65 y más años (050)",2396,2306,75,3,12
"Sin nivel (051)",1187,1147,37,,3
"Primaria (053)",1034,1001,28,1,4
"Secundaria (054)",149,137,7,2,3
"Superior no univ. incompleta (055)",6,5,,,1
"Superior no univ. completa (056)",5,4,1,,
"Superior univ. incompleta (057)",3,2,1,,
"Superior univ. completa (058)",12,10,1,,1
,,,,,
