"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TAYACAJA (000)",36250,113518,99920,,1853,88,1.6
"De 12 a 14 años (001)",4403,16,16,,2,100,12.5
"De 15 a 19 años (002)",4908,883,869,246,98.4,27.9,
"De 20 a 24 años (003)",3995,4334,4204,476,97,11,
"De 25 a 29 años (004)",3556,7497,7194,402,96,5.4,
"De 30 a 34 años (005)",3141,9879,9285,326,94,3.3,
"De 35 a 39 años (006)",3069,12795,11761,233,91.9,1.8,
"De 40 a 44 años (007)",2691,14223,12912,129,90.8,0.9,
"De 45 a 49 años (008)",2323,13621,12156,39,89.2,0.3,
"De 50 y más años (009)",8164,50270,41523,,82.6,,
"Sin nivel (010)",9369,53922,45057,249,83.6,0.5,
"De 12 a 14 años (011)",38,,,,,,
"De 15 a 19 años (012)",84,57,55,15,96.5,26.3,
"De 20 a 24 años (013)",192,296,282,24,95.3,8.1,
"De 25 a 29 años (014)",283,815,771,46,94.6,5.6,
"De 30 a 34 años (015)",438,1574,1452,47,92.2,3,
"De 35 a 39 años (016)",646,3080,2753,54,89.4,1.8,
"De 40 a 44 años (017)",834,4967,4395,43,88.5,0.9,
"De 45 a 49 años (018)",981,6200,5425,20,87.5,0.3,
"De 50 y más años (019)",5873,36933,29924,,81,,
"Educacion Inicial (020)",83,165,157,7,95.2,4.2,
"De 12 a 14 años (021)",21,,,,,,
"De 15 a 19 años (022)",8,2,2,,100,,
"De 20 a 24 años (023)",18,31,31,3,100,9.7,
"De 25 a 29 años (024)",12,27,25,2,92.6,7.4,
"De 30 a 34 años (025)",9,33,32,,97,,
"De 35 a 39 años (026)",15,72,67,2,93.1,2.8,
"Primaria (030)",15569,47872,43648,1055,91.2,2.2,
"De 12 a 14 años (031)",2502,7,7,2,100,28.6,
"De 15 a 19 años (032)",1439,486,480,130,98.8,26.7,
"De 20 a 24 años (033)",1797,2485,2410,252,97,10.1,
"De 25 a 29 años (034)",1905,4694,4498,239,95.8,5.1,
"De 30 a 34 años (035)",1834,6470,6071,200,93.8,3.1,
"De 35 a 39 años (036)",1701,7706,7092,143,92,1.9,
"De 40 a 44 años (037)",1410,7811,7120,74,91.2,0.9,
"De 45 a 49 años (038)",1059,6402,5771,15,90.1,0.2,
"De 50 y más años (039)",1922,11811,10199,,86.4,,
