"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",10414,488,1128,1248,872,1515,1309,2428,1426
"Sabe leer y escribir (001)",8582,,887,1238,861,1481,1250,2073,792
"No sabe leer y escribir (002)",1832,488,241,10,11,34,59,355,634
"Hombres (004)",5294,234,591,619,472,818,677,1248,635
"Sabe leer y escribir (005)",4677,,467,615,467,811,658,1161,498
"No sabe leer y escribir (006)",617,234,124,4,5,7,19,87,137
"Mujeres (008)",5120,254,537,629,400,697,632,1180,791
"Sabe leer y escribir (009)",3905,,420,623,394,670,592,912,294
"No sabe leer y escribir (010)",1215,254,117,6,6,27,40,268,497
,,,,,,,,,
"URBANA (012)",6979,325,764,877,580,1053,888,1620,872
"Sabe leer y escribir (013)",5948,,610,870,576,1041,866,1454,531
"No sabe leer y escribir (014)",1031,325,154,7,4,12,22,166,341
"Hombres (016)",3491,158,409,423,316,552,451,814,368
"Sabe leer y escribir (017)",3146,,328,420,313,549,443,782,311
"No sabe leer y escribir (018)",345,158,81,3,3,3,8,32,57
"Mujeres (020)",3488,167,355,454,264,501,437,806,504
"Sabe leer y escribir (021)",2802,,282,450,263,492,423,672,220
"No sabe leer y escribir (022)",686,167,73,4,1,9,14,134,284
,,,,,,,,,
"RURAL (024)",3435,163,364,371,292,462,421,808,554
"Sabe leer y escribir (025)",2634,,277,368,285,440,384,619,261
"No sabe leer y escribir (026)",801,163,87,3,7,22,37,189,293
"Hombres (028)",1803,76,182,196,156,266,226,434,267
"Sabe leer y escribir (029)",1531,,139,195,154,262,215,379,187
"No sabe leer y escribir (030)",272,76,43,1,2,4,11,55,80
"Mujeres (032)",1632,87,182,175,136,196,195,374,287
"Sabe leer y escribir (033)",1103,,138,173,131,178,169,240,74
"No sabe leer y escribir (034)",529,87,44,2,5,18,26,134,213
