"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SUCRE (000)",11846,595,1559,1678,1043,1361,1466,2705,1439
"Sabe leer y escribir (001)",9415,,1225,1664,1031,1317,1392,2111,675
"No sabe leer y escribir (002)",2431,595,334,14,12,44,74,594,764
"Hombres (004)",5827,269,829,874,544,647,745,1306,613
"Sabe leer y escribir (005)",5093,,649,867,539,635,721,1217,465
"No sabe leer y escribir (006)",734,269,180,7,5,12,24,89,148
"Mujeres (008)",6019,326,730,804,499,714,721,1399,826
"Sabe leer y escribir (009)",4322,,576,797,492,682,671,894,210
"No sabe leer y escribir (010)",1697,326,154,7,7,32,50,505,616
,,,,,,,,,
"URBANA (012)",7231,361,980,1039,647,839,979,1579,807
"Sabe leer y escribir (013)",5949,,774,1031,643,825,945,1306,425
"No sabe leer y escribir (014)",1282,361,206,8,4,14,34,273,382
"Hombres (016)",3535,166,518,537,346,385,488,765,330
"Sabe leer y escribir (017)",3156,,408,534,343,380,480,732,279
"No sabe leer y escribir (018)",379,166,110,3,3,5,8,33,51
"Mujeres (020)",3696,195,462,502,301,454,491,814,477
"Sabe leer y escribir (021)",2793,,366,497,300,445,465,574,146
"No sabe leer y escribir (022)",903,195,96,5,1,9,26,240,331
,,,,,,,,,
"RURAL (024)",4615,234,579,639,396,522,487,1126,632
"Sabe leer y escribir (025)",3466,,451,633,388,492,447,805,250
"No sabe leer y escribir (026)",1149,234,128,6,8,30,40,321,382
"Hombres (028)",2292,103,311,337,198,262,257,541,283
"Sabe leer y escribir (029)",1937,,241,333,196,255,241,485,186
"No sabe leer y escribir (030)",355,103,70,4,2,7,16,56,97
"Mujeres (032)",2323,131,268,302,198,260,230,585,349
"Sabe leer y escribir (033)",1529,,210,300,192,237,206,320,64
"No sabe leer y escribir (034)",794,131,58,2,6,23,24,265,285
