"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA MAR (000)",26558,23608,1435,498,1017
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",28,,4,3,21
"Profes., científicos e intelectuales (002)",1221,364,265,249,343
"Técnicos de nivel medio y trab. asimilados (003)",310,158,34,27,91
"Jefes y empleados de oficina (004)",222,34,19,21,148
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1994,1911,58,8,17
"Agricult.trabaj.calif.agrop.y pesqueros (006)",12492,12150,334,8,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",407,350,18,12,27
"Obreros construc.,conf.,papel, fab., instr. (008)",737,552,88,38,59
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8235,7350,559,115,211
"Otra (010)",86,,,,86
"Ocupación no especificada (011)",826,739,56,17,14
"Hombres (012)",19228,17132,996,331,769
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",24,,4,3,17
"Profes., científicos e intelectuales (014)",700,180,165,143,212
"Técnicos de nivel medio y trab. asimilados (015)",221,111,30,21,59
"Jefes y empleados de oficina (016)",151,20,11,14,106
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",731,683,32,4,12
"Agricult.trabaj.calif.agrop.y pesqueros (018)",11078,10794,277,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",360,306,16,12,26
"Obreros construc.,conf.,papel, fab., instr. (020)",729,547,87,37,58
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4818,4218,339,80,181
"Otra (022)",86,,,,86
"Ocupación no especificada (023)",330,273,35,10,12
"Mujeres (024)",7330,6476,439,167,248
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,,,4
"Profes., científicos e intelectuales (026)",521,184,100,106,131
"Técnicos de nivel medio y trab. asimilados (027)",89,47,4,6,32
"Jefes y empleados de oficina (028)",71,14,8,7,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1263,1228,26,4,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1414,1356,57,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",47,44,2,,1
"Obreros construc.,conf.,papel, fab., instr. (032)",8,5,1,1,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3417,3132,220,35,30
