"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia FERREÑAFE (000)",27955,2938,77,8834,9252,1452,2904,623,1875
"Agric., ganadería, caza y silvicultura (001)",14384,2370,58,6383,4525,323,409,110,206
"Pesca (002)",10,,,5,3,,,,2
"Explotación de minas y canteras (003)",73,20,4,30,14,2,1,,2
"Industrias manufactureras (004)",1182,92,1,309,494,81,117,29,59
"Suministro de electricidad, gas y agua (005)",63,3,2,6,28,2,12,1,9
"Construcción (006)",1152,26,,240,568,88,145,19,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3229,124,1,737,1315,308,455,112,177
"Venta, mant.y rep. veh.autom.y motoc. (008)",330,5,,42,144,35,70,15,19
"Comercio al por mayor (009)",168,4,,45,61,15,24,8,11
"Comercio al por menor (010)",2731,115,1,650,1110,258,361,89,147
"Hoteles y restaurantes (011)",546,28,1,148,216,48,66,12,27
"Trans., almac. y comunicaciones (012)",1811,30,1,314,923,174,220,65,84
"Intermediación financiera (013)",52,,,,2,2,13,6,29
"Activid.inmobil., empres. y de alquiler (014)",529,6,,35,104,64,147,33,140
"Admin.pub. y defensa; p. segur.soc.afil (015)",739,4,,35,201,57,269,43,130
"Enseñanza (016)",1716,,,2,159,142,638,107,668
"Servicios sociales y de salud (017)",464,1,,7,34,29,205,15,173
"Otras activ. serv.comun.soc y personales (018)",541,30,1,109,199,56,77,28,41
"Hogares privados con servicio doméstico (019)",674,75,2,242,257,25,50,14,9
"Actividad economica no especificada (021)",790,129,6,232,210,51,80,29,53
"Hombres (022)",20603,1671,44,6864,7595,1044,1766,435,1184
"Agric., ganadería, caza y silvicultura (023)",12293,1475,36,5500,4284,314,379,106,199
"Pesca (024)",8,,,4,3,,,,1
"Explotación de minas y canteras (025)",72,19,4,30,14,2,1,,2
"Industrias manufactureras (026)",790,26,,197,378,57,77,17,38
"Suministro de electricidad, gas y agua (027)",59,3,1,6,26,2,11,1,9
"Construcción (028)",1134,23,,236,562,88,143,18,64
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1720,36,,335,770,165,231,71,112
"Venta, mant.y rep. veh.autom.y motoc. (030)",314,5,,41,142,32,64,14,16
"Comercio al por mayor (031)",106,2,,30,42,9,11,6,6
"Comercio al por menor (032)",1300,29,,264,586,124,156,51,90
"Hoteles y restaurantes (033)",133,1,,20,61,13,18,7,13
"Trans., almac. y comunicaciones (034)",1704,26,1,308,890,162,187,57,73
"Intermediación financiera (035)",32,,,,2,2,9,4,15
"Activid.inmobil., empres. y de alquiler (036)",397,4,,30,86,51,97,18,111
"Admin.pub. y defensa; p. segur.soc.afil (037)",552,1,,23,167,40,195,34,92
"Enseñanza (038)",804,,,1,76,57,275,53,342
"Servicios sociales y de salud (039)",155,1,,6,13,15,54,7,59
"Otras activ. serv.comun.soc y personales (040)",333,7,1,44,135,45,50,19,32
"Hogares privados con servicio doméstico (041)",27,6,1,6,12,1,1,,
"Actividad economica no especificada (043)",390,43,,118,116,30,38,23,22
"Mujeres (044)",7352,1267,33,1970,1657,408,1138,188,691
