"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LEONCIO PRADO (000)",44205,7900,7698,21689,1341,4481,1096
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",64,60,,,4,,
"Profes., científicos e intelectuales (002)",2581,2281,,262,26,10,2
"Técnicos de nivel medio y trab. asimilados (003)",1351,772,,473,85,20,1
"Jefes y empleados de oficina (004)",1139,1115,,5,,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5952,1515,39,3521,235,642,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",12001,2,,11263,736,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2113,,692,1264,101,56,
"Obreros construc.,conf.,papel, fab., instr. (008)",3453,456,683,2228,64,22,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13955,839,6100,2294,32,3597,1093
"Otra (010)",573,573,,,,,
"Ocupación no especificada (011)",1023,287,184,379,58,115,
"Hombres (012)",31965,4635,6544,16600,1074,2867,245
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",46,42,,,4,,
"Profes., científicos e intelectuales (014)",1405,1190,,191,20,4,
"Técnicos de nivel medio y trab. asimilados (015)",893,480,,348,57,8,
"Jefes y empleados de oficina (016)",575,556,,5,,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2589,829,13,1503,110,134,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",11047,2,,10372,673,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1725,,579,1016,92,38,
"Obreros construc.,conf.,papel, fab., instr. (020)",3363,453,652,2175,62,21,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",9258,389,5178,814,14,2618,245
"Otra (022)",556,556,,,,,
"Ocupación no especificada (023)",508,138,122,176,42,30,
"Mujeres (024)",12240,3265,1154,5089,267,1614,851
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",18,18,,,,,
"Profes., científicos e intelectuales (026)",1176,1091,,71,6,6,2
"Técnicos de nivel medio y trab. asimilados (027)",458,292,,125,28,12,1
"Jefes y empleados de oficina (028)",564,559,,,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3363,686,26,2018,125,508,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",954,,,891,63,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",388,,113,248,9,18,
"Obreros construc.,conf.,papel, fab., instr. (032)",90,3,31,53,2,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",4697,450,922,1480,18,979,848
"Otra (034)",17,17,,,,,
"Ocupación no especificada (035)",515,149,62,203,16,85,
,,,,,,,
"URBANA (036)",26549,7458,3846,12000,678,1722,845
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",56,52,,,4,,
"Profes., científicos e intelectuales (038)",2425,2138,,251,25,9,2
"Técnicos de nivel medio y trab. asimilados (039)",1291,734,,452,84,20,1
"Jefes y empleados de oficina (040)",1090,1066,,5,,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",5504,1450,31,3195,219,609,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2718,2,,2570,146,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",1860,,554,1162,93,51,
"Obreros construc.,conf.,papel, fab., instr. (044)",3095,425,611,1985,56,18,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",7210,790,2509,2112,30,927,842
"Otra (046)",524,524,,,,,
"Ocupación no especificada (047)",776,277,141,268,21,69,
"Hombres (048)",16962,4374,3231,7932,470,843,112
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",39,35,,,4,,
"Profes., científicos e intelectuales (050)",1332,1125,,185,19,3,
"Técnicos de nivel medio y trab. asimilados (051)",850,456,,330,56,8,
"Jefes y empleados de oficina (052)",557,538,,5,,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",2412,791,13,1379,100,129,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",2384,2,,2252,130,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",1529,,469,940,85,35,
"Obreros construc.,conf.,papel, fab., instr. (056)",3027,423,586,1946,55,17,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",3932,362,2066,759,12,621,112
"Otra (058)",508,508,,,,,
"Ocupación no especificada (059)",392,134,97,136,9,16,
"Mujeres (060)",9587,3084,615,4068,208,879,733
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",17,17,,,,,
"Profes., científicos e intelectuales (062)",1093,1013,,66,6,6,2
"Técnicos de nivel medio y trab. asimilados (063)",441,278,,122,28,12,1
"Jefes y empleados de oficina (064)",533,528,,,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",3092,659,18,1816,119,480,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",334,,,318,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",331,,85,222,8,16,
"Obreros construc.,conf.,papel, fab., instr. (068)",68,2,25,39,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",3278,428,443,1353,18,306,730
"Otra (070)",16,16,,,,,
"Ocupación no especificada (071)",384,143,44,132,12,53,
,,,,,,,
"RURAL (072)",17656,442,3852,9689,663,2759,251
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",8,8,,,,,
"Profes., científicos e intelectuales (074)",156,143,,11,1,1,
"Técnicos de nivel medio y trab. asimilados (075)",60,38,,21,1,,
"Jefes y empleados de oficina (076)",49,49,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",448,65,8,326,16,33,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",9283,,,8693,590,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",253,,138,102,8,5,
"Obreros construc.,conf.,papel, fab., instr. (080)",358,31,72,243,8,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",6745,49,3591,182,2,2670,251
"Otra (082)",49,49,,,,,
"Ocupación no especificada (083)",247,10,43,111,37,46,
"Hombres (084)",15003,261,3313,8668,604,2024,133
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",73,65,,6,1,1,
"Técnicos de nivel medio y trab. asimilados (087)",43,24,,18,1,,
"Jefes y empleados de oficina (088)",18,18,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",177,38,,124,10,5,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",8663,,,8120,543,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",196,,110,76,7,3,
"Obreros construc.,conf.,papel, fab., instr. (092)",336,30,66,229,7,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",5326,27,3112,55,2,1997,133
"Otra (094)",48,48,,,,,
"Ocupación no especificada (095)",116,4,25,40,33,14,
