"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YAULI (000)",17621,39706,37047,,734,93.3,1.8
"De 12 a 14 años (001)",1680,8,8,,,100,
"De 15 a 19 años (002)",2110,264,258,80,97.7,30.3,
"De 20 a 24 años (003)",2053,1630,1597,189,98,11.6,
"De 25 a 29 años (004)",1990,2777,2701,175,97.3,6.3,
"De 30 a 34 años (005)",1942,4125,4004,168,97.1,4.1,
"De 35 a 39 años (006)",1805,4984,4822,84,96.7,1.7,
"De 40 a 44 años (007)",1620,5345,5127,33,95.9,0.6,
"De 45 a 49 años (008)",1261,4673,4420,5,94.6,0.1,
"De 50 y más años (009)",3160,15900,14110,,88.7,,
"Sin nivel (010)",1052,5370,4574,18,85.2,0.3,
"De 12 a 14 años (011)",9,,,,,,
"De 15 a 19 años (012)",16,1,1,,100,,
"De 20 a 24 años (013)",20,25,25,2,100,8,
"De 25 a 29 años (014)",12,26,26,1,100,3.8,
"De 30 a 34 años (015)",69,166,163,6,98.2,3.6,
"De 35 a 39 años (016)",62,205,190,3,92.7,1.5,
"De 40 a 44 años (017)",68,285,262,2,91.9,0.7,
"De 45 a 49 años (018)",75,381,351,4,92.1,1,
"De 50 y más años (019)",721,4281,3556,,83.1,,
"Educacion Inicial (020)",16,19,19,,100,,
"De 12 a 14 años (021)",7,,,,,,
"De 20 a 24 años (023)",2,3,3,,100,,
"De 25 a 29 años (024)",2,5,5,,100,,
"De 30 a 34 años (025)",4,9,9,,100,,
"De 35 a 39 años (026)",1,2,2,,100,,
"Primaria (030)",4045,14213,13086,166,92.1,1.2,
"De 12 a 14 años (031)",526,6,6,,100,,
"De 15 a 19 años (032)",171,56,54,16,96.4,28.6,
"De 20 a 24 años (033)",208,267,257,31,96.3,11.6,
"De 25 a 29 años (034)",291,619,595,38,96.1,6.1,
"De 30 a 34 años (035)",311,936,886,44,94.7,4.7,
"De 35 a 39 años (036)",346,1305,1239,19,94.9,1.5,
"De 40 a 44 años (037)",398,1693,1604,17,94.7,1,
"De 45 a 49 años (038)",356,1618,1528,1,94.4,0.1,
"De 50 y más años (039)",1438,7713,6917,,89.7,,
"Secundaria (040)",7905,12986,12501,343,96.3,2.6,
"De 12 a 14 años (041)",1138,2,2,,100,,
