"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARAL (000)",63447,59871,17130,10074,10422,7379,8060,3948,1823,1035,3576,140485
"De 12 a 14 años (001)",5154,5132,5106,22,4,,,,,,22,30
"De 15 a 19 años (002)",7974,7789,6954,757,68,9,1,,,,185,924
"De 20 a 24 años (003)",7301,6172,2593,2538,847,155,22,17,,,1129,4898
"De 25 a 29 años (004)",6723,5818,797,2338,1840,635,193,12,3,,905,8831
"De 30 a 34 años (005)",6592,6119,470,1629,2199,1137,612,66,,6,473,12511
"De 35 a 39 años (006)",5990,5735,276,948,1823,1408,1041,210,25,4,255,14851
"De 40 a 44 años (007)",5100,4923,216,554,1237,1195,1260,369,79,13,177,15212
"De 45 a 49 años (008)",4106,3998,153,358,802,840,1162,486,150,47,108,14452
"De 50 y más años (009)",14507,14185,565,930,1602,2000,3769,2788,1566,965,322,68776
"Conviviente (010)",17675,17171,1086,4838,4542,2747,2512,954,328,164,504,43700
"De 12 a 14 años (011)",39,21,12,8,1,,,,,,18,10
"De 15 a 19 años (012)",995,848,262,524,56,5,1,,,,147,655
"De 20 a 24 años (013)",2993,2823,336,1688,646,124,17,12,,,170,3500
"De 25 a 29 años (014)",3399,3319,185,1263,1287,430,141,11,2,,80,5804
"De 30 a 34 años (015)",3065,3028,90,673,1135,704,382,41,,3,37,6970
"De 35 a 39 años (016)",2421,2399,58,304,707,643,556,120,9,2,22,6892
"De 40 a 44 años (017)",1735,1724,41,161,357,411,536,174,39,5,11,5926
"De 45 a 49 años (018)",1115,1111,30,85,165,204,364,179,63,21,4,4527
"De 50 y más años (019)",1913,1898,72,132,188,226,515,417,215,133,15,9416
"Separado(a) (020)",3655,3594,46,1040,868,543,610,302,122,63,61,10753
"De 12 a 14 años (021)",5,3,1,2,,,,,,,2,2
