"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia TARMA",,,,
"Viviendas particulares (001)",16276,13973,1890,413
"Ocupantes presentes (002)",70953,60850,8400,1703
"Casa independiente",,,,
"Viviendas particulares (004)",15213,13159,1674,380
"Ocupantes presentes (005)",66096,57176,7348,1572
"Departamento en edificio",,,,
"Viviendas particulares (007)",236,210,26,
"Ocupantes presentes (008)",1056,941,115,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",509,388,121,
"Ocupantes presentes (011)",2347,1755,592,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",269,191,67,11
"Ocupantes presentes (014)",1294,903,340,51
"Choza o cabaña",,,,
"Viviendas particulares (016)",20,,,20
"Ocupantes presentes (017)",75,,,75
"Vivienda improvisada",,,,
"Viviendas particulares (019)",4,2,1,1
"Ocupantes presentes (020)",5,3,1,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",25,23,1,1
"Ocupantes presentes (023)",80,72,4,4
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",14668,12699,1644,325
"Ocupantes presentes (029)",64118,55436,7355,1327
"Casa independiente",,,,
"Viviendas particulares (031)",13665,11925,1446,294
"Ocupantes presentes (032)",59544,51981,6360,1203
"Departamento en edificio",,,,
"Viviendas particulares (034)",227,202,25,
"Ocupantes presentes (035)",994,885,109,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",495,377,118,
"Ocupantes presentes (038)",2265,1684,581,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",235,172,54,9
"Ocupantes presentes (041)",1162,817,301,44
"Choza o cabaña",,,,
"Viviendas particulares (043)",20,,,20
"Ocupantes presentes (044)",75,,,75
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,1,,1
"Ocupantes presentes (047)",3,2,,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",24,22,1,1
"Ocupantes presentes (050)",75,67,4,4
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",1608,1274,246,88
"Ocupantes presentes (056)",6835,5414,1045,376
"Casa independiente",,,,
"Viviendas particulares (058)",1548,1234,228,86
"Ocupantes presentes (059)",6552,5195,988,369
"Departamento en edificio",,,,
"Viviendas particulares (061)",9,8,1,
"Ocupantes presentes (062)",62,56,6,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",14,11,3,
"Ocupantes presentes (065)",82,71,11,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",34,19,13,2
"Ocupantes presentes (068)",132,86,39,7
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",2,1,1,
"Ocupantes presentes (074)",2,1,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,1,,
"Ocupantes presentes (077)",5,5,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",12162,10410,1581,171
"Ocupantes presentes (110)",54140,46220,7174,746
"Casa independiente",,,,
"Viviendas particulares (112)",11119,9596,1365,158
"Ocupantes presentes (113)",49358,42546,6122,690
"Departamento en edificio",,,,
"Viviendas particulares (115)",236,210,26,
"Ocupantes presentes (116)",1056,941,115,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",509,388,121,
"Ocupantes presentes (119)",2347,1755,592,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",269,191,67,11
"Ocupantes presentes (122)",1294,903,340,51
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",4,2,1,1
"Ocupantes presentes (128)",5,3,1,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",25,23,1,1
"Ocupantes presentes (131)",80,72,4,4
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",10960,9483,1356,121
"Ocupantes presentes (137)",48828,42090,6219,519
"Casa independiente",,,,
"Viviendas particulares (139)",9977,8709,1158,110
"Ocupantes presentes (140)",44329,38635,5224,470
"Departamento en edificio",,,,
"Viviendas particulares (142)",227,202,25,
"Ocupantes presentes (143)",994,885,109,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",495,377,118,
"Ocupantes presentes (146)",2265,1684,581,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",235,172,54,9
"Ocupantes presentes (149)",1162,817,301,44
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,1,,1
"Ocupantes presentes (155)",3,2,,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",24,22,1,1
"Ocupantes presentes (158)",75,67,4,4
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",1202,927,225,50
"Ocupantes presentes (164)",5312,4130,955,227
"Casa independiente",,,,
"Viviendas particulares (166)",1142,887,207,48
"Ocupantes presentes (167)",5029,3911,898,220
"Departamento en edificio",,,,
"Viviendas particulares (169)",9,8,1,
"Ocupantes presentes (170)",62,56,6,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",14,11,3,
"Ocupantes presentes (173)",82,71,11,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",34,19,13,2
"Ocupantes presentes (176)",132,86,39,7
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",2,1,1,
"Ocupantes presentes (182)",2,1,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,1,,
"Ocupantes presentes (185)",5,5,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",4114,3563,309,242
"Ocupantes presentes (218)",16813,14630,1226,957
"Casa independiente",,,,
"Viviendas particulares (220)",4094,3563,309,222
"Ocupantes presentes (221)",16738,14630,1226,882
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",20,,,20
"Ocupantes presentes (233)",75,,,75
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",3708,3216,288,204
"Ocupantes presentes (245)",15290,13346,1136,808
"Casa independiente",,,,
"Viviendas particulares (247)",3688,3216,288,184
"Ocupantes presentes (248)",15215,13346,1136,733
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",20,,,20
"Ocupantes presentes (260)",75,,,75
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",406,347,21,38
"Ocupantes presentes (272)",1523,1284,90,149
"Casa independiente",,,,
"Viviendas particulares (274)",406,347,21,38
"Ocupantes presentes (275)",1523,1284,90,149
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
