"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia RECUAY (000)",7598,22859,20288,,291,88.8,1.3
"De 12 a 14 años (001)",561,1,1,,,100,
"De 15 a 19 años (002)",860,94,88,32,93.6,34,
"De 20 a 24 años (003)",747,513,498,64,97.1,12.5,
"De 25 a 29 años (004)",740,954,929,69,97.4,7.2,
"De 30 a 34 años (005)",578,1250,1203,58,96.2,4.6,
"De 35 a 39 años (006)",609,1754,1675,42,95.5,2.4,
"De 40 a 44 años (007)",560,2088,1979,24,94.8,1.1,
"De 45 a 49 años (008)",484,2140,1992,2,93.1,0.1,
"De 50 y más años (009)",2459,14065,11923,,84.8,,
"PEA (010)",1650,4110,3753,61,91.3,1.5,
"De 12 a 14 años (011)",17,,,,,,
"De 15 a 19 años (012)",95,15,14,5,93.3,33.3,
"De 20 a 24 años (013)",188,105,100,11,95.2,10.5,
"De 25 a 29 años (014)",250,220,214,19,97.3,8.6,
"De 30 a 34 años (015)",202,308,299,11,97.1,3.6,
"De 35 a 39 años (016)",189,407,394,12,96.8,2.9,
"De 40 a 44 años (017)",159,528,493,2,93.4,0.4,
"De 45 a 49 años (018)",143,510,477,1,93.5,0.2,
"De 50 y más años (019)",407,2017,1762,,87.4,,
"Ocupada (020)",1558,4008,3661,60,91.3,1.5,
"De 12 a 14 años (021)",17,,,,,,
"De 15 a 19 años (022)",81,15,14,5,93.3,33.3,
"De 20 a 24 años (023)",165,92,87,10,94.6,10.9,
"De 25 a 29 años (024)",235,210,204,19,97.1,9,
"De 30 a 34 años (025)",188,297,288,11,97,3.7,
"De 35 a 39 años (026)",184,394,381,12,96.7,3,
"De 40 a 44 años (027)",155,519,484,2,93.3,0.4,
"De 45 a 49 años (028)",137,497,466,1,93.8,0.2,
"De 50 y más años (029)",396,1984,1737,,87.6,,
"Desocupada (030)",92,102,92,1,90.2,1,
"De 15 a 19 años (032)",14,,,,,,
"De 20 a 24 años (033)",23,13,13,1,100,7.7,
"De 25 a 29 años (034)",15,10,10,,100,,
"De 30 a 34 años (035)",14,11,11,,100,,
"De 35 a 39 años (036)",5,13,13,,100,,
"De 40 a 44 años (037)",4,9,9,,100,,
"De 45 a 49 años (038)",6,13,11,,84.6,,
"De 50 y más años (039)",11,33,25,,75.8,,
