"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PICOTA (000)",8540,37420,5288,23181,3252,14239
"Casa independiente (001)",7226,31762,5139,22596,2087,9166
"Departamento en edificio (002)",2,9,2,9,,
"Vivienda en quinta (003)",51,190,51,190,,
"Vivienda en casa de vecindad (004)",23,108,23,108,,
"Choza o cabaña (005)",1158,5051,,,1158,5051
"Vivienda improvisada (006)",58,209,58,209,,
"Local no dest.para hab. humana (007)",16,70,15,69,1,1
"Otro tipo (008)",6,21,,,6,21
