"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARAL (000)",155687,6193,14777,17083,16235,28410,24875,36172,11942
"Sabe leer y escribir (001)",139946,,11893,16946,16121,27924,24085,33251,9726
"No sabe leer y escribir (002)",15741,6193,2884,137,114,486,790,2921,2216
"Hombres (004)",78760,3167,7507,8745,8261,14386,12293,18344,6057
"Sabe leer y escribir (005)",72479,,6037,8680,8205,14217,12104,17719,5517
"No sabe leer y escribir (006)",6281,3167,1470,65,56,169,189,625,540
"Mujeres (008)",76927,3026,7270,8338,7974,14024,12582,17828,5885
"Sabe leer y escribir (009)",67467,,5856,8266,7916,13707,11981,15532,4209
"No sabe leer y escribir (010)",9460,3026,1414,72,58,317,601,2296,1676
,,,,,,,,,
"URBANA (012)",128991,5147,12406,14448,13663,23100,20582,30068,9577
"Sabe leer y escribir (013)",116603,,10085,14339,13577,22753,20034,27839,7976
"No sabe leer y escribir (014)",12388,5147,2321,109,86,347,548,2229,1601
"Hombres (016)",64080,2652,6281,7364,6872,11363,9826,14921,4801
"Sabe leer y escribir (017)",59087,,5101,7316,6825,11241,9706,14457,4441
"No sabe leer y escribir (018)",4993,2652,1180,48,47,122,120,464,360
"Mujeres (020)",64911,2495,6125,7084,6791,11737,10756,15147,4776
"Sabe leer y escribir (021)",57516,,4984,7023,6752,11512,10328,13382,3535
"No sabe leer y escribir (022)",7395,2495,1141,61,39,225,428,1765,1241
,,,,,,,,,
"RURAL (024)",26696,1046,2371,2635,2572,5310,4293,6104,2365
"Sabe leer y escribir (025)",23343,,1808,2607,2544,5171,4051,5412,1750
"No sabe leer y escribir (026)",3353,1046,563,28,28,139,242,692,615
"Hombres (028)",14680,515,1226,1381,1389,3023,2467,3423,1256
"Sabe leer y escribir (029)",13392,,936,1364,1380,2976,2398,3262,1076
"No sabe leer y escribir (030)",1288,515,290,17,9,47,69,161,180
"Mujeres (032)",12016,531,1145,1254,1183,2287,1826,2681,1109
"Sabe leer y escribir (033)",9951,,872,1243,1164,2195,1653,2150,674
"No sabe leer y escribir (034)",2065,531,273,11,19,92,173,531,435
