"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OYON (000)",7550,4625,677,834,1414
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",18,2,1,4,11
"Profes., científicos e intelectuales (002)",619,133,121,199,166
"Técnicos de nivel medio y trab. asimilados (003)",343,122,33,62,126
"Jefes y empleados de oficina (004)",192,56,13,30,93
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",724,652,32,10,30
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1255,1209,43,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1293,454,110,232,497
"Obreros construc.,conf.,papel, fab., instr. (008)",704,386,92,78,148
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1816,1388,140,100,188
"Otra (010)",45,,,,45
"Ocupación no especificada (011)",541,223,92,118,108
"Hombres (012)",5609,3095,536,721,1257
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",15,1,1,4,9
"Profes., científicos e intelectuales (014)",354,68,59,121,106
"Técnicos de nivel medio y trab. asimilados (015)",293,90,28,57,118
"Jefes y empleados de oficina (016)",111,27,7,20,57
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",285,235,21,8,21
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1037,997,37,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1249,420,108,230,491
"Obreros construc.,conf.,papel, fab., instr. (020)",691,374,91,78,148
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1118,756,108,90,164
"Otra (022)",44,,,,44
"Ocupación no especificada (023)",412,127,76,112,97
"Mujeres (024)",1941,1530,141,113,157
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,1,,,2
"Profes., científicos e intelectuales (026)",265,65,62,78,60
"Técnicos de nivel medio y trab. asimilados (027)",50,32,5,5,8
"Jefes y empleados de oficina (028)",81,29,6,10,36
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",439,417,11,2,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",218,212,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",44,34,2,2,6
"Obreros construc.,conf.,papel, fab., instr. (032)",13,12,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",698,632,32,10,24
"Otra (034)",1,,,,1
