"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTILLA (000)",16479,10234,2059,1820,2366
"Agric., ganadería, caza y silvicultura (001)",8063,5724,1391,929,19
"Pesca (002)",240,170,54,12,4
"Explotación de minas y canteras (003)",1673,152,75,224,1222
"Industrias manufactureras (004)",489,368,58,26,37
"Suministro de electricidad, gas y agua (005)",43,7,2,17,17
"Construcción (006)",859,439,137,137,146
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,1488,40,25,10
"Venta, mant.y rep. veh.autom y motoc. (008)",146,116,6,14,10
"Comercio al por mayor (009)",60,53,4,3,
"Comercio al por menor (010)",1357,1319,30,8,
"Hoteles y restaurantes (011)",527,428,25,36,38
"Trans., almac. y comunicaciones (012)",597,467,49,40,41
"Intermediación financiera (013)",16,4,3,2,7
"Activid.inmobil., empres. y alquileres (014)",310,155,33,38,84
"Admin.pub. y defensa; p. segur soc.afil (015)",536,,,,536
"Enseñanza (016)",592,149,116,268,59
"Servicios sociales y de salud (017)",197,46,17,13,121
"Otras activ. serv.comun.soc y personales (018)",295,207,38,34,16
"Hogares privados con servicio doméstico (019)",220,220,,,
"Actividad economica no especificada (021)",259,210,21,19,9
"Hombres (022)",11486,6728,1474,1278,2006
"Agric., ganadería, caza y silvicultura (023)",5882,4295,975,597,15
"Pesca (024)",235,166,53,12,4
"Explotación de minas y canteras (025)",1633,148,75,222,1188
"Industrias manufactureras (026)",373,269,46,24,34
"Suministro de electricidad, gas y agua (027)",43,7,2,17,17
"Construcción (028)",840,432,133,132,143
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",651,591,27,23,10
"Venta, mant.y rep. veh.autom y motoc. (030)",141,111,6,14,10
"Comercio al por mayor (031)",34,27,4,3,
"Comercio al por menor (032)",476,453,17,6,
"Hoteles y restaurantes (033)",154,97,7,20,30
"Trans., almac. y comunicaciones (034)",520,399,43,38,40
"Intermediación financiera (035)",9,4,2,1,2
"Activid.inmobil., empres. y alquileres (036)",233,102,22,31,78
"Admin.pub. y defensa; p. segur soc.afil (037)",359,,,,359
"Enseñanza (038)",200,27,41,111,21
"Servicios sociales y de salud (039)",80,16,8,11,45
"Otras activ. serv.comun.soc y personales (040)",167,94,32,27,14
"Hogares privados con servicio doméstico (041)",22,22,,,
