"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AYABACA (000)",31907,30758,116,4477,4568,4309,7173,5346,3287,1482,1149,136798
"De 12 a 14 años (001)",50,21,,19,2,,,,,,29,23
"De 15 a 19 años (002)",1089,989,13,771,178,26,1,,,,100,1209
"De 20 a 24 años (003)",3291,2967,12,1362,992,442,145,14,,,324,5363
"De 25 a 29 años (004)",3775,3533,11,795,1006,884,757,77,3,,242,9223
"De 30 a 34 años (005)",3695,3573,9,435,709,786,1162,401,68,3,122,12478
"De 35 a 39 años (006)",3677,3601,5,273,487,629,1159,760,251,37,76,15686
"De 40 a 44 años (007)",3203,3154,4,189,297,426,924,728,424,162,49,16181
"De 45 a 49 años (008)",2778,2731,4,137,222,281,697,703,473,214,47,15411
"De 50 y más años (009)",10349,10189,58,496,675,835,2328,2663,2068,1066,160,61224
"Conviviente (010)",8449,8264,30,1727,1634,1376,1825,1016,486,170,185,29689
"De 12 a 14 años (011)",35,8,,7,1,,,,,,27,9
"De 15 a 19 años (012)",662,588,9,446,114,19,,,,,74,731
"De 20 a 24 años (013)",1492,1454,4,629,504,243,65,9,,,38,2691
"De 25 a 29 años (014)",1488,1466,2,305,429,389,318,23,,,22,3845
"De 30 a 34 años (015)",1197,1189,4,145,242,275,383,116,23,1,8,4073
"De 35 a 39 años (016)",1014,1010,,63,146,168,368,210,49,6,4,4331
"De 40 a 44 años (017)",732,731,1,42,58,99,236,185,95,15,1,3677
"De 45 a 49 años (018)",556,554,1,24,54,61,150,136,96,32,2,3028
"De 50 y más años (019)",1273,1264,9,66,86,122,305,337,223,116,9,7304
"Separado(a) (020)",1054,1031,4,233,221,130,219,128,63,33,23,3759
"De 12 a 14 años (021)",1,,,,,,,,,,1,
