"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN MARTIN (000)",141877,28520,47549,34215,23611,7982
"Sin nivel (001)",3742,414,457,646,992,1233
"Educación inicial (002)",1638,1516,88,34,,
"Primaria (003)",53053,20131,7908,9821,9991,5202
"Secundaria (004)",52956,6459,25095,13115,7348,939
"Superior no univ. incompleta (005)",7050,,4482,1818,677,73
"Superior no univ. completa (006)",9344,,2990,4097,2001,256
"Superior univ. incompleta (007)",6476,,4513,1287,625,51
"Superior univ. completa (008)",7618,,2016,3397,1977,228
"PEA (010)",68718,1553,23986,24642,15900,2637
"Sin nivel (011)",1316,30,176,324,477,309
"Educación inicial (012)",74,15,41,18,,
"Primaria (013)",19555,1019,4415,6205,6121,1795
"Secundaria (014)",27058,489,11798,9223,5212,336
"Superior no univ. incompleta (015)",4148,,2167,1414,537,30
"Superior no univ. completa (016)",7166,,2250,3415,1438,63
"Superior univ. incompleta (017)",3152,,1546,1074,507,25
"Superior univ. completa (018)",6249,,1593,2969,1608,79
"Ocupada (020)",66729,1499,22953,24089,15602,2586
"Sin nivel (021)",1294,28,170,319,469,308
"Educación inicial (022)",67,13,37,17,,
"Primaria (023)",19070,990,4267,6057,6001,1755
"Secundaria (024)",26183,468,11283,8998,5104,330
"Superior no univ. incompleta (025)",4009,,2071,1380,528,30
"Superior no univ. completa (026)",6951,,2121,3356,1414,60
"Superior univ. incompleta (027)",3052,,1473,1056,498,25
