"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,3082,347,244,196
"Agric., ganadería, caza y silvicultura (001)",1796,1732,52,11,1
"Pesca (002)",3,3,,,
"Explotación de minas y canteras (003)",219,198,7,,14
"Industrias manufactureras (004)",113,105,4,3,1
"Suministro de electricidad, gas y agua (005)",2,,,2,
"Construcción (006)",196,129,43,23,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",373,363,8,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",18,16,1,1,
"Comercio al por mayor (009)",15,14,1,,
"Comercio al por menor (010)",340,333,6,1,
"Hoteles y restaurantes (011)",98,91,2,5,
"Trans., almac. y comunicaciones (012)",76,64,8,4,
"Intermediación financiera (013)",2,,1,1,
"Activid.inmobil., empres. y alquileres (014)",41,21,6,13,1
"Admin.pub. y defensa; p. segur soc.afil (015)",137,,,,137
"Enseñanza (016)",475,121,188,164,2
"Servicios sociales y de salud (017)",61,17,2,4,38
"Otras activ. serv.comun.soc y personales (018)",46,35,9,2,
"Hogares privados con servicio doméstico (019)",54,54,,,
"Actividad economica no especificada (021)",177,149,17,10,1
"Hombres (022)",2615,2102,218,158,137
"Agric., ganadería, caza y silvicultura (023)",1380,1332,37,10,1
"Pesca (024)",3,3,,,
"Explotación de minas y canteras (025)",206,185,7,,14
"Industrias manufactureras (026)",80,73,3,3,1
"Suministro de electricidad, gas y agua (027)",2,,,2,
"Construcción (028)",192,127,42,22,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",155,152,2,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",17,16,,1,
"Comercio al por mayor (031)",9,9,,,
"Comercio al por menor (032)",129,127,2,,
"Hoteles y restaurantes (033)",20,17,1,2,
"Trans., almac. y comunicaciones (034)",68,57,7,4,
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",26,13,4,8,1
"Admin.pub. y defensa; p. segur soc.afil (037)",99,,,,99
"Enseñanza (038)",227,35,95,96,1
"Servicios sociales y de salud (039)",25,7,,,18
"Otras activ. serv.comun.soc y personales (040)",21,13,7,1,
"Hogares privados con servicio doméstico (041)",4,4,,,
"Actividad economica no especificada (043)",106,84,13,8,1
"Mujeres (044)",1254,980,129,86,59
