"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANGALLO (000)",32567,1710,4359,4698,3235,4531,4020,6724,3290
"Sabe leer y escribir (001)",23780,,3149,4657,3189,4302,3528,3998,957
"No sabe leer y escribir (002)",8787,1710,1210,41,46,229,492,2726,2333
"Hombres (004)",15527,838,2175,2455,1631,2126,1893,3061,1348
"Sabe leer y escribir (005)",12938,,1556,2438,1607,2081,1820,2666,770
"No sabe leer y escribir (006)",2589,838,619,17,24,45,73,395,578
"Mujeres (008)",17040,872,2184,2243,1604,2405,2127,3663,1942
"Sabe leer y escribir (009)",10842,,1593,2219,1582,2221,1708,1332,187
"No sabe leer y escribir (010)",6198,872,591,24,22,184,419,2331,1755
,,,,,,,,,
"URBANA (012)",11376,556,1421,1691,1246,1582,1560,2316,1004
"Sabe leer y escribir (013)",8817,,1038,1681,1234,1516,1398,1590,360
"No sabe leer y escribir (014)",2559,556,383,10,12,66,162,726,644
"Hombres (016)",5471,275,694,906,635,750,714,1105,392
"Sabe leer y escribir (017)",4745,,508,902,629,736,695,1011,264
"No sabe leer y escribir (018)",726,275,186,4,6,14,19,94,128
"Mujeres (020)",5905,281,727,785,611,832,846,1211,612
"Sabe leer y escribir (021)",4072,,530,779,605,780,703,579,96
"No sabe leer y escribir (022)",1833,281,197,6,6,52,143,632,516
,,,,,,,,,
"RURAL (024)",21191,1154,2938,3007,1989,2949,2460,4408,2286
"Sabe leer y escribir (025)",14963,,2111,2976,1955,2786,2130,2408,597
"No sabe leer y escribir (026)",6228,1154,827,31,34,163,330,2000,1689
"Hombres (028)",10056,563,1481,1549,996,1376,1179,1956,956
"Sabe leer y escribir (029)",8193,,1048,1536,978,1345,1125,1655,506
"No sabe leer y escribir (030)",1863,563,433,13,18,31,54,301,450
"Mujeres (032)",11135,591,1457,1458,993,1573,1281,2452,1330
"Sabe leer y escribir (033)",6770,,1063,1440,977,1441,1005,753,91
"No sabe leer y escribir (034)",4365,591,394,18,16,132,276,1699,1239
