"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN MARTIN (000)",161132,3072,44703,47549,34215,23611,7982
"Hombres (001)",82159,1611,22827,24088,17297,12571,3765
"Mujeres (002)",78973,1461,21876,23461,16918,11040,4217
"Viviendas particulares (003)",157756,3048,44539,45870,33247,23137,7915
"Hombres (004)",79554,1598,22750,22776,16512,12200,3718
"Mujeres (005)",78202,1450,21789,23094,16735,10937,4197
"Viviendas colectivas (006)",3005,24,148,1542,840,390,61
"Hombres (007)",2318,13,67,1222,675,299,42
"Mujeres (008)",687,11,81,320,165,91,19
"Otro tipo (009)",371,,16,137,128,84,6
"Hombres (010)",287,,10,90,110,72,5
"Mujeres (011)",84,,6,47,18,12,1
,,,,,,,
"URBANA (012)",146109,2653,39299,43617,31527,21702,7311
"Hombres (013)",73784,1403,20046,21830,15713,11403,3389
"Mujeres (014)",72325,1250,19253,21787,15814,10299,3922
"Viviendas particulares (015)",142969,2629,39138,42138,30589,21231,7244
"Hombres (016)",71405,1390,19970,20710,14958,11035,3342
"Mujeres (017)",71564,1239,19168,21428,15631,10196,3902
"Viviendas colectivas (018)",2772,24,145,1344,811,387,61
"Hombres (019)",2095,13,66,1032,646,296,42
"Mujeres (020)",677,11,79,312,165,91,19
"Otro tipo (021)",368,,16,135,127,84,6
"Hombres (022)",284,,10,88,109,72,5
"Mujeres (023)",84,,6,47,18,12,1
,,,,,,,
"RURAL (024)",15023,419,5404,3932,2688,1909,671
"Hombres (025)",8375,208,2781,2258,1584,1168,376
"Mujeres (026)",6648,211,2623,1674,1104,741,295
"Viviendas particulares (027)",14787,419,5401,3732,2658,1906,671
"Hombres (028)",8149,208,2780,2066,1554,1165,376
"Mujeres (029)",6638,211,2621,1666,1104,741,295
"Viviendas colectivas (030)",233,,3,198,29,3,
"Hombres (031)",223,,1,190,29,3,
"Mujeres (032)",10,,2,8,,,
"Otro tipo (033)",3,,,2,1,,
"Hombres (034)",3,,,2,1,,
