"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CANTA (000)",13513,13377,100,36
"Hombres (001)",7081,7022,36,23
"Mujeres (002)",6432,6355,64,13
"Menores de 1 año (003)",230,197,20,13
"Hombres (004)",108,92,9,7
"Mujeres (005)",122,105,11,6
"De 1 a 5 años (006)",1276,1211,43,22
"Hombres (007)",661,628,17,16
"Mujeres (008)",615,583,26,6
"De 6 a 14 años (009)",2329,2326,3,
"Hombres (010)",1153,1152,1,
"Mujeres (011)",1176,1174,2,
"De 15 a 29 años (012)",3310,3310,,
"Hombres (013)",1790,1790,,
"Mujeres (014)",1520,1520,,
"De 30 a 44 años (015)",2563,2560,3,
"Hombres (016)",1356,1354,2,
"Mujeres (017)",1207,1206,1,
"De 45 a 64 años (018)",2222,2218,4,
"Hombres (019)",1217,1216,1,
"Mujeres (020)",1005,1002,3,
"De 65 a más años (021)",1583,1555,27,1
"Hombres (022)",796,790,6,
"Mujeres (023)",787,765,21,1
,,,,
"URBANA (024)",6454,6399,39,16
"Hombres (025)",3326,3301,14,11
"Mujeres (026)",3128,3098,25,5
"Menores de 1 año (027)",90,84,4,2
"Hombres (028)",46,41,3,2
"Mujeres (029)",44,43,1,
"De 1 a 5 años (030)",547,520,14,13
"Hombres (031)",294,279,6,9
"Mujeres (032)",253,241,8,4
"De 6 a 14 años (033)",1095,1093,2,
"Hombres (034)",543,542,1,
"Mujeres (035)",552,551,1,
"De 15 a 29 años (036)",1373,1373,,
"Hombres (037)",745,745,,
"Mujeres (038)",628,628,,
"De 30 a 44 años (039)",1167,1165,2,
"Hombres (040)",590,589,1,
"Mujeres (041)",577,576,1,
"De 45 a 64 años (042)",1202,1201,1,
"Hombres (043)",623,623,,
"Mujeres (044)",579,578,1,
"De 65 a más años (045)",980,963,16,1
"Hombres (046)",485,482,3,
"Mujeres (047)",495,481,13,1
,,,,
"RURAL (048)",7059,6978,61,20
"Hombres (049)",3755,3721,22,12
"Mujeres (050)",3304,3257,39,8
"Menores de 1 año (051)",140,113,16,11
"Hombres (052)",62,51,6,5
"Mujeres (053)",78,62,10,6
"De 1 a 5 años (054)",729,691,29,9
"Hombres (055)",367,349,11,7
"Mujeres (056)",362,342,18,2
"De 6 a 14 años (057)",1234,1233,1,
"Hombres (058)",610,610,,
"Mujeres (059)",624,623,1,
"De 15 a 29 años (060)",1937,1937,,
"Hombres (061)",1045,1045,,
"Mujeres (062)",892,892,,
"De 30 a 44 años (063)",1396,1395,1,
"Hombres (064)",766,765,1,
"Mujeres (065)",630,630,,
"De 45 a 64 años (066)",1020,1017,3,
"Hombres (067)",594,593,1,
"Mujeres (068)",426,424,2,
"De 65 a más años (069)",603,592,11,
"Hombres (070)",311,308,3,
"Mujeres (071)",292,284,8,
