"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ABANCAY (000)",84364,21877,25906,17733,12847,6001
"Sin nivel (001)",8114,264,334,1183,2959,3374
"Educación inicial (002)",1285,1223,39,23,,
"Primaria (003)",29870,15725,2930,5001,4437,1777
"Secundaria (004)",26837,4665,13893,5206,2576,497
"Superior no univ. incompleta (005)",2830,,1875,679,242,34
"Superior no univ. completa (006)",3423,,1075,1500,740,108
"Superior univ. incompleta (007)",5967,,4367,1102,462,36
"Superior univ. completa (008)",6038,,1393,3039,1431,175
"PEA (010)",33077,746,10369,12282,7913,1767
"Sin nivel (011)",2274,10,105,412,1042,705
"Educación inicial (012)",30,5,11,14,,
"Primaria (013)",7835,426,1252,2722,2666,769
"Secundaria (014)",11256,305,5162,3757,1852,180
"Superior no univ. incompleta (015)",1522,,779,533,194,16
"Superior no univ. completa (016)",2719,,804,1313,577,25
"Superior univ. incompleta (017)",2381,,1168,828,372,13
"Superior univ. completa (018)",5060,,1088,2703,1210,59
"Ocupada (020)",31552,734,9617,11780,7687,1734
"Sin nivel (021)",2228,9,103,400,1019,697
"Educación inicial (022)",30,5,11,14,,
"Primaria (023)",7545,423,1190,2603,2576,753
"Secundaria (024)",10648,297,4792,3602,1784,173
"Superior no univ. incompleta (025)",1440,,733,504,187,16
"Superior no univ. completa (026)",2603,,742,1269,568,24
"Superior univ. incompleta (027)",2227,,1070,782,362,13
"Superior univ. completa (028)",4831,,976,2606,1191,58
