"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia OYON (000)",7497,1581,2821,2459,85,475,76
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",18,16,,,2,,
"Profes., científicos e intelectuales (002)",619,547,,64,6,2,
"Técnicos de nivel medio y trab. asimilados (003)",343,263,,62,16,2,
"Jefes y empleados de oficina (004)",192,190,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",718,145,26,469,7,71,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",1254,3,6,1210,35,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1293,,1132,150,4,7,
"Obreros construc.,conf., papel, fab., instr. (008)",703,73,413,208,6,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",1771,170,934,232,2,357,76
"Otra (010)",45,45,,,,,
"Ocupación no especificada (011)",541,129,310,64,7,31,
"Hombres (012)",5575,1057,2541,1693,66,211,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",15,14,,,1,,
"Profes., científicos e intelectuales (014)",354,308,,41,5,,
"Técnicos de nivel medio y trab. asimilados (015)",293,232,,47,13,1,
"Jefes y empleados de oficina (016)",111,111,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",281,80,13,174,3,11,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",1037,3,6,997,31,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1249,,1110,129,4,6,
"Obreros construc.,conf., papel, fab., instr. (020)",690,71,411,199,6,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1089,92,735,70,,185,7
"Otra (022)",44,44,,,,,
"Ocupación no especificada (023)",412,102,266,36,3,5,
"Mujeres (024)",1922,524,280,766,19,264,69
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,2,,,1,,
"Profes., científicos e intelectuales (026)",265,239,,23,1,2,
"Técnicos de nivel medio y trab. asimilados (027)",50,31,,15,3,1,
"Jefes y empleados de oficina (028)",81,79,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",437,65,13,295,4,60,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",217,,,213,4,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",44,,22,21,,1,
"Obreros construc.,conf., papel, fab., instr. (032)",13,2,2,9,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",682,78,199,162,2,172,69
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",129,27,44,28,4,26,
,,,,,,,
"URBANA (036)",4140,948,1312,1583,45,196,56
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",17,15,,,2,,
"Profes., científicos e intelectuales (038)",418,361,,51,4,2,
"Técnicos de nivel medio y trab. asimilados (039)",143,80,,52,10,1,
"Jefes y empleados de oficina (040)",127,125,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",580,112,14,394,3,57,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",608,3,2,590,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",650,,518,123,4,5,
"Obreros construc.,conf., papel, fab., instr. (044)",458,51,230,170,5,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",975,137,486,177,2,117,56
"Otra (046)",42,42,,,,,
"Ocupación no especificada (047)",122,22,62,26,2,10,
"Hombres (048)",2863,542,1185,1021,31,80,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",14,13,,,1,,
"Profes., científicos e intelectuales (050)",212,178,,31,3,,
"Técnicos de nivel medio y trab. asimilados (051)",107,59,,39,8,1,
"Jefes y empleados de oficina (052)",57,57,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",218,59,7,142,1,9,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",486,3,2,472,9,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",624,,505,110,4,5,
"Obreros construc.,conf., papel, fab., instr. (056)",447,49,229,162,5,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",587,70,399,52,,62,4
"Otra (058)",42,42,,,,,
"Ocupación no especificada (059)",69,12,43,13,,1,
"Mujeres (060)",1277,406,127,562,14,116,52
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,2,,,1,,
"Profes., científicos e intelectuales (062)",206,183,,20,1,2,
"Técnicos de nivel medio y trab. asimilados (063)",36,21,,13,2,,
"Jefes y empleados de oficina (064)",70,68,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",362,53,7,252,2,48,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",122,,,118,4,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",26,,13,13,,,
"Obreros construc.,conf., papel, fab., instr. (068)",11,2,1,8,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",388,67,87,125,2,55,52
"Ocupación no especificada (071)",53,10,19,13,2,9,
,,,,,,,
"RURAL (072)",3357,633,1509,876,40,279,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",201,186,,13,2,,
"Técnicos de nivel medio y trab. asimilados (075)",200,183,,10,6,1,
"Jefes y empleados de oficina (076)",65,65,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",138,33,12,75,4,14,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",646,,4,620,22,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",643,,614,27,,2,
"Obreros construc.,conf., papel, fab., instr. (080)",245,22,183,38,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",796,33,448,55,,240,20
"Otra (082)",3,3,,,,,
"Ocupación no especificada (083)",419,107,248,38,5,21,
"Hombres (084)",2712,515,1356,672,35,131,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",142,130,,10,2,,
"Técnicos de nivel medio y trab. asimilados (087)",186,173,,8,5,,
"Jefes y empleados de oficina (088)",54,54,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",63,21,6,32,2,2,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",551,,4,525,22,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",625,,605,19,,1,
"Obreros construc.,conf., papel, fab., instr. (092)",243,22,182,37,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",502,22,336,18,,123,3
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",343,90,223,23,3,4,
"Mujeres (096)",645,118,153,204,5,148,17
"Profes., científicos e intelectuales (098)",59,56,,3,,,
"Técnicos de nivel medio y trab. asimilados (099)",14,10,,2,1,1,
"Jefes y empleados de oficina (100)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",75,12,6,43,2,12,
