"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OYON (000)",7149,21220,18879,,377,89,1.8
"De 12 a 14 años (001)",665,2,1,,,50,
"De 15 a 19 años (002)",886,127,125,38,98.4,29.9,
"De 20 a 24 años (003)",786,717,698,99,97.4,13.8,
"De 25 a 29 años (004)",720,1169,1137,81,97.3,6.9,
"De 30 a 34 años (005)",688,1683,1611,74,95.7,4.4,
"De 35 a 39 años (006)",709,2461,2307,57,93.7,2.3,
"De 40 a 44 años (007)",494,2179,2028,25,93.1,1.1,
"De 45 a 49 años (008)",449,2354,2127,3,90.4,0.1,
"De 50 y más años (009)",1752,10528,8845,,84,,
"PEA (010)",1981,5543,5008,82,90.3,1.5,
"De 12 a 14 años (011)",22,,,,,,
"De 15 a 19 años (012)",142,30,30,8,100,26.7,
"De 20 a 24 años (013)",250,146,143,15,97.9,10.3,
"De 25 a 29 años (014)",254,278,273,13,98.2,4.7,
"De 30 a 34 años (015)",247,445,431,23,96.9,5.2,
"De 35 a 39 años (016)",282,798,757,18,94.9,2.3,
"De 40 a 44 años (017)",162,630,584,4,92.7,0.6,
"De 45 a 49 años (018)",180,807,726,1,90,0.1,
"De 50 y más años (019)",442,2409,2064,,85.7,,
"Ocupada (020)",1930,5463,4942,76,90.5,1.4,
"De 12 a 14 años (021)",22,,,,,,
"De 15 a 19 años (022)",126,28,28,6,100,21.4,
"De 20 a 24 años (023)",235,144,141,15,97.9,10.4,
"De 25 a 29 años (024)",250,271,266,12,98.2,4.4,
"De 30 a 34 años (025)",240,430,416,20,96.7,4.7,
"De 35 a 39 años (026)",280,792,751,18,94.8,2.3,
"De 40 a 44 años (027)",159,615,574,4,93.3,0.7,
"De 45 a 49 años (028)",179,797,719,1,90.2,0.1,
"De 50 y más años (029)",439,2386,2047,,85.8,,
"Desocupada (030)",51,80,66,6,82.5,7.5,
"De 15 a 19 años (032)",16,2,2,2,100,100,
"De 20 a 24 años (033)",15,2,2,,100,,
"De 25 a 29 años (034)",4,7,7,1,100,14.3,
"De 30 a 34 años (035)",7,15,15,3,100,20,
"De 35 a 39 años (036)",2,6,6,,100,,
"De 40 a 44 años (037)",3,15,10,,66.7,,
"De 45 a 49 años (038)",1,10,7,,70,,
"De 50 y más años (039)",3,23,17,,73.9,,
