"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUMBIVILCAS (000)",25175,88448,75086,,1552,84.9,1.8
"De 12 a 14 años (001)",3309,19,18,,3,94.7,15.8
"De 15 a 19 años (002)",3069,487,478,159,98.2,32.6,
"De 20 a 24 años (003)",2182,2614,2516,358,96.3,13.7,
"De 25 a 29 años (004)",2245,5072,4830,356,95.2,7,
"De 30 a 34 años (005)",2103,7121,6633,299,93.1,4.2,
"De 35 a 39 años (006)",2067,9428,8614,226,91.4,2.4,
"De 40 a 44 años (007)",2057,11961,10593,117,88.6,1,
"De 45 a 49 años (008)",1761,11320,9753,33,86.2,0.3,
"De 50 y más años (009)",6382,40426,31651,1,78.3,,
"Sin nivel (010)",8288,50150,40308,267,80.4,0.5,
"De 12 a 14 años (011)",15,2,2,,100,,
"De 15 a 19 años (012)",60,32,32,5,100,15.6,
"De 20 a 24 años (013)",105,195,188,15,96.4,7.7,
"De 25 a 29 años (014)",219,603,553,33,91.7,5.5,
"De 30 a 34 años (015)",379,1590,1440,66,90.6,4.2,
"De 35 a 39 años (016)",560,2961,2658,70,89.8,2.4,
"De 40 a 44 años (017)",867,5538,4770,58,86.1,1,
"De 45 a 49 años (018)",902,6190,5236,19,84.6,0.3,
"De 50 y más años (019)",5181,33039,25429,1,77,,
"Educacion Inicial (020)",44,100,95,3,95,3,
"De 12 a 14 años (021)",9,,,,,,
"De 15 a 19 años (022)",7,1,1,,100,,
"De 20 a 24 años (023)",4,4,4,,100,,
"De 25 a 29 años (024)",7,16,15,1,93.8,6.3,
"De 30 a 34 años (025)",9,45,43,2,95.6,4.4,
"De 35 a 39 años (026)",8,34,32,,94.1,,
"Primaria (030)",10247,31796,28567,875,89.8,2.8,
"De 12 a 14 años (031)",2114,14,13,2,92.9,14.3,
"De 15 a 19 años (032)",847,239,231,78,96.7,32.6,
"De 20 a 24 años (033)",1015,1523,1456,207,95.6,13.6,
"De 25 a 29 años (034)",1217,3225,3078,212,95.4,6.6,
"De 30 a 34 años (035)",1152,4296,4000,182,93.1,4.2,
"De 35 a 39 años (036)",1124,5374,4909,128,91.3,2.4,
"De 40 a 44 años (037)",999,5736,5165,54,90,0.9,
"De 45 a 49 años (038)",732,4671,4088,12,87.5,0.3,
