"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOYOBAMBA (000)",39240,38095,11022,5844,5440,4361,5386,2912,1775,1355,1145,102540
"De 12 a 14 años (001)",4287,4230,4196,33,1,,,,,,57,35
"De 15 a 19 años (002)",5987,5827,4456,1151,181,25,14,,,,160,1644
"De 20 a 24 años (003)",5049,4675,1260,1906,1052,351,93,13,,,374,5536
"De 25 a 29 años (004)",4730,4456,460,1251,1376,805,502,60,2,,274,8951
"De 30 a 34 años (005)",4132,4019,210,625,1109,935,876,220,37,7,113,11249
"De 35 a 39 años (006)",3579,3532,119,339,717,769,1021,405,131,31,47,12572
"De 40 a 44 años (007)",2936,2903,83,175,402,579,852,502,206,104,33,12555
"De 45 a 49 años (008)",2253,2239,55,118,231,356,632,436,276,135,14,11110
"De 50 y más años (009)",6287,6214,183,246,371,541,1396,1276,1123,1078,73,38888
"Sin nivel (010)",4080,4002,257,237,269,349,781,723,683,703,78,23865
"De 12 a 14 años (011)",52,51,50,1,,,,,,,1,1
"De 15 a 19 años (012)",140,132,69,41,17,3,2,,,,8,92
"De 20 a 24 años (013)",188,175,38,41,43,38,15,,,,13,302
"De 25 a 29 años (014)",217,209,13,27,56,60,44,8,1,,8,566
"De 30 a 34 años (015)",274,269,9,23,33,59,99,33,10,3,5,1030
"De 35 a 39 años (016)",336,329,6,20,25,54,109,65,39,11,7,1604
"De 40 a 44 años (017)",368,365,11,8,21,34,105,94,52,40,3,2100
"De 45 a 49 años (018)",376,373,7,18,8,26,74,97,91,52,3,2423
"De 50 y más años (019)",2129,2099,54,58,66,75,333,426,490,597,30,15747
"Educacion Inicial (020)",117,114,50,12,14,17,19,1,1,,3,186
"De 12 a 14 años (021)",31,31,31,,,,,,,,,
