"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CALCA (000)",23422,22377,6496,2735,2771,2369,3701,2357,1284,664,1045,65085
"De 12 a 14 años (001)",2621,2597,2584,11,2,,,,,,24,15
"De 15 a 19 años (002)",3027,2946,2637,264,37,7,1,,,,81,363
"De 20 a 24 años (003)",2535,2147,669,887,422,110,45,14,,,388,2335
"De 25 a 29 años (004)",2267,2013,124,606,598,382,278,24,1,,254,4270
"De 30 a 34 años (005)",2200,2094,69,340,537,436,566,126,17,3,106,6170
"De 35 a 39 años (006)",2083,2034,49,179,404,450,594,262,86,10,49,7457
"De 40 a 44 años (007)",1846,1812,45,95,239,313,573,347,149,51,34,8107
"De 45 a 49 años (008)",1552,1536,52,69,151,209,420,359,181,95,16,7751
"De 50 y más años (009)",5291,5198,267,284,381,462,1224,1225,850,505,93,28617
"Conviviente (010)",6677,6459,407,1671,1483,970,1123,502,210,93,218,18454
"De 12 a 14 años (011)",29,11,4,6,1,,,,,,18,8
"De 15 a 19 años (012)",408,341,107,202,28,3,1,,,,67,271
"De 20 a 24 años (013)",1346,1274,125,688,332,91,29,9,,,72,1801
"De 25 a 29 años (014)",1288,1262,54,396,413,240,145,13,1,,26,2636
"De 30 a 34 años (015)",1060,1043,26,187,314,215,247,44,8,2,17,2896
"De 35 a 39 años (016)",920,915,18,92,213,203,258,102,25,4,5,3167
"De 40 a 44 años (017)",591,590,12,29,85,102,210,99,39,14,1,2552
"De 45 a 49 años (018)",387,385,15,20,35,55,101,89,43,27,2,1953
"De 50 y más años (019)",648,638,46,51,62,61,132,146,94,46,10,3170
"Separado(a) (020)",714,698,8,260,128,95,101,59,31,16,16,2075
"De 12 a 14 años (021)",3,,,,,,,,,,3,
"De 15 a 19 años (022)",27,25,,23,1,1,,,,,2,28
