"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHICLAYO (000)",213194,2076,6772,16062,26493,41875,63346,56570
"De 12 a 14 años (001)",193,,,,,,10,183
"De 15 a 19 años (002)",4057,,,,,,2345,1712
"De 20 a 24 años (003)",19431,,,,,65,10197,9169
"De 25 a 29 años (004)",25584,,,,,1251,14774,9559
"De 30 a 34 años (005)",27050,,,,7,4490,15114,7439
"De 35 a 39 años (006)",26461,,,,370,8249,12071,5771
"De 40 a 44 años (007)",23827,,,1,1906,10595,6442,4883
"De 45 a 49 años (008)",20594,,,171,5004,9474,2030,3915
"De 50 y más años (009)",65997,2076,6772,15890,19206,7751,363,13939
"Conviviente (010)",60117,83,346,1326,3865,11391,29548,13558
"De 12 a 14 años (011)",115,,,,,,7,108
"De 15 a 19 años (012)",2762,,,,,,1591,1171
"De 20 a 24 años (013)",9062,,,,,28,6238,2796
"De 25 a 29 años (014)",10939,,,,,579,7760,2600
"De 30 a 34 años (015)",10570,,,,2,1789,6676,2103
"De 35 a 39 años (016)",8579,,,,96,2605,4442,1436
"De 40 a 44 años (017)",6358,,,,444,2722,2111,1081
"De 45 a 49 años (018)",4374,,,25,844,2144,625,736
"De 50 y más años (019)",7358,83,346,1301,2479,1524,98,1527
"Separado(a) (020)",17747,85,394,1313,2680,4545,4577,4153
"De 12 a 14 años (021)",15,,,,,,,15
"De 15 a 19 años (022)",339,,,,,,215,124
"De 20 a 24 años (023)",1339,,,,,8,893,438
"De 25 a 29 años (024)",1867,,,,,206,1138,523
"De 30 a 34 años (025)",2214,,,,1,656,1012,545
"De 35 a 39 años (026)",2367,,,,65,1046,743,513
"De 40 a 44 años (027)",2259,,,,292,1086,405,476
"De 45 a 49 años (028)",1967,,,37,547,855,144,384
"De 50 y más años (029)",5380,85,394,1276,1775,688,27,1135
"Casado(a) (030)",89885,448,2655,8871,15936,21675,24832,15468
"De 12 a 14 años (031)",23,,,,,,,23
"De 15 a 19 años (032)",462,,,,,,237,225
"De 20 a 24 años (033)",2948,,,,,7,2042,899
"De 25 a 29 años (034)",6530,,,,,259,4723,1548
"De 30 a 34 años (035)",9890,,,,2,1439,6571,1878
"De 35 a 39 años (036)",11940,,,,150,3737,6273,1780
"De 40 a 44 años (037)",12125,,,1,888,5876,3617,1743
"De 45 a 49 años (038)",11398,,,68,2959,5638,1154,1579
"De 50 y más años (039)",34569,448,2655,8802,11937,4719,215,5793
"Viudo(a) (040)",15853,1366,3086,3799,2512,1328,386,3376
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",28,,,,,,4,24
"De 20 a 24 años (043)",48,,,,,,29,19
