"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAURA (000)",55566,45044,10522
"Casa independiente (001)",50365,40603,9762
"Departamento en edificio (002)",1283,1283,
"Vivienda en quinta (003)",1231,1231,
"Vivienda en casa de vecindad (004)",908,908,
"Choza o cabaña (005)",748,,748
"Vivienda improvisada (006)",939,939,
"Local no dest.para hab. humana (007)",88,76,12
"Otro tipo (008)",4,4,
