"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MORROPON (000)",42539,40052,162,6970,7223,6186,8763,5843,3369,1536,2487,161417
"De 12 a 14 años (001)",98,43,,30,13,,,,,,55,56
"De 15 a 19 años (002)",1027,840,9,719,93,14,5,,,,187,967
"De 20 a 24 años (003)",3910,3150,22,2035,859,191,39,4,,,760,4516
"De 25 a 29 años (004)",4622,4082,14,1398,1590,735,317,27,1,,540,8285
"De 30 a 34 años (005)",4948,4663,17,871,1497,1212,898,154,12,2,285,12457
"De 35 a 39 años (006)",4914,4734,14,500,1059,1280,1404,401,67,9,180,15764
"De 40 a 44 años (007)",4584,4458,12,344,692,942,1521,693,208,46,126,17894
"De 45 a 49 años (008)",4012,3920,7,291,458,593,1257,841,370,103,92,18217
"De 50 y más años (009)",14424,14162,67,782,962,1219,3322,3723,2711,1376,262,83261
"Sin nivel (010)",10279,9996,43,670,884,1133,2502,2346,1635,783,283,54543
"De 12 a 14 años (011)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (012)",44,40,,30,9,1,,,,,4,51
"De 20 a 24 años (013)",189,148,,70,54,19,5,,,,41,256
"De 25 a 29 años (014)",254,228,1,40,81,65,36,4,1,,26,584
"De 30 a 34 años (015)",685,642,1,71,155,177,192,42,3,1,43,2056
"De 35 a 39 años (016)",769,736,1,63,102,182,258,106,23,1,33,2823
"De 40 a 44 años (017)",930,901,3,38,74,150,319,217,81,19,29,4320
"De 45 a 49 años (018)",959,934,2,53,71,100,275,242,144,47,25,5013
"De 50 y más años (019)",6445,6366,35,304,338,439,1417,1735,1383,715,79,39439
"Educacion Inicial (020)",54,48,,17,11,12,8,,,,6,111
"De 15 a 19 años (022)",2,1,,1,,,,,,,1,1
