"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16651,1948,1962,9164,157,3163,257
"Conviviente (001)",7537,739,880,4809,87,957,65
"Separado(a) (002)",330,50,34,217,2,14,13
"Casado(a) (003)",4124,589,248,2616,29,608,34
"Viudo(a) (004)",336,17,21,283,3,9,3
"Divorciado(a) (005)",36,6,6,22,,1,1
"Soltero(a) (006)",4288,547,773,1217,36,1574,141
"Hombres (008)",12451,1279,1737,7647,138,1596,54
"Conviviente (009)",5549,485,766,4051,75,169,3
"Separado(a) (010)",190,22,28,127,1,10,2
"Casado(a) (011)",2959,418,201,2240,28,63,9
"Viudo(a) (012)",192,6,12,167,2,5,
"Divorciado(a) (013)",26,3,6,16,,1,
"Soltero(a) (014)",3535,345,724,1046,32,1348,40
"Mujeres (016)",4200,669,225,1517,19,1567,203
"Conviviente (017)",1988,254,114,758,12,788,62
"Separado(a) (018)",140,28,6,90,1,4,11
"Casado(a) (019)",1165,171,47,376,1,545,25
"Viudo(a) (020)",144,11,9,116,1,4,3
"Divorciado(a) (021)",10,3,,6,,,1
"Soltero(a) (022)",753,202,49,171,4,226,101
,,,,,,,
"URBANA (024)",4829,1308,818,2088,66,372,177
"Conviviente (025)",2089,482,384,1022,30,135,36
"Separado(a) (026)",130,36,19,59,2,4,10
"Casado(a) (027)",1209,396,117,559,16,92,29
"Viudo(a) (028)",81,12,6,55,3,3,2
"Divorciado(a) (029)",16,3,4,8,,,1
"Soltero(a) (030)",1304,379,288,385,15,138,99
"Hombres (032)",3305,821,749,1451,52,194,38
"Conviviente (033)",1442,308,355,695,22,60,2
"Separado(a) (034)",64,16,15,26,1,4,2
"Casado(a) (035)",810,270,104,395,15,18,8
"Viudo(a) (036)",31,3,3,22,2,1,
"Divorciado(a) (037)",13,2,4,7,,,
"Soltero(a) (038)",945,222,268,306,12,111,26
"Mujeres (040)",1524,487,69,637,14,178,139
"Conviviente (041)",647,174,29,327,8,75,34
"Separado(a) (042)",66,20,4,33,1,,8
"Casado(a) (043)",399,126,13,164,1,74,21
"Viudo(a) (044)",50,9,3,33,1,2,2
"Divorciado(a) (045)",3,1,,1,,,1
"Soltero(a) (046)",359,157,20,79,3,27,73
,,,,,,,
"RURAL (048)",11822,640,1144,7076,91,2791,80
"Conviviente (049)",5448,257,496,3787,57,822,29
"Separado(a) (050)",200,14,15,158,,10,3
"Casado(a) (051)",2915,193,131,2057,13,516,5
"Viudo(a) (052)",255,5,15,228,,6,1
"Divorciado(a) (053)",20,3,2,14,,1,
"Soltero(a) (054)",2984,168,485,832,21,1436,42
"Hombres (056)",9146,458,988,6196,86,1402,16
"Conviviente (057)",4107,177,411,3356,53,109,1
"Separado(a) (058)",126,6,13,101,,6,
"Casado(a) (059)",2149,148,97,1845,13,45,1
"Viudo(a) (060)",161,3,9,145,,4,
"Divorciado(a) (061)",13,1,2,9,,1,
"Soltero(a) (062)",2590,123,456,740,20,1237,14
"Mujeres (064)",2676,182,156,880,5,1389,64
"Conviviente (065)",1341,80,85,431,4,713,28
"Separado(a) (066)",74,8,2,57,,4,3
"Casado(a) (067)",766,45,34,212,,471,4
"Viudo(a) (068)",94,2,6,83,,2,1
"Divorciado(a) (069)",7,2,,5,,,
"Soltero(a) (070)",394,45,29,92,1,199,28
