"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PALPA (000)",6114,2989,438,75,2363,103,1,18,,127
"Hombres (001)",2288,1464,249,45,388,63,1,11,,67
"Mujeres (002)",3826,1525,189,30,1975,40,,7,,60
"De 06 a 14 años (003)",2069,2005,,,41,12,,4,,7
"Hombres (004)",1042,1008,,,19,8,,2,,5
"Mujeres (005)",1027,997,,,22,4,,2,,2
"De 15 a 29 años (006)",1698,939,2,18,697,,1,7,,34
"Hombres (007)",582,440,1,9,114,,1,4,,13
"Mujeres (008)",1116,499,1,9,583,,,3,,21
"De 30 a 44 años (009)",732,30,10,11,649,,,4,,28
"Hombres (010)",120,12,5,5,79,,,4,,15
"Mujeres (011)",612,18,5,6,570,,,,,13
"De 45 a 64 años (012)",755,11,71,23,621,1,,3,,25
"Hombres (013)",152,3,33,15,85,1,,1,,14
"Mujeres (014)",603,8,38,8,536,,,2,,11
"De 65 y más años (015)",860,4,355,23,355,90,,,,33
"Hombres (016)",392,1,210,16,91,54,,,,20
"Mujeres (017)",468,3,145,7,264,36,,,,13
,,,,,,,,,,
"AREA URBANA (018)",4043,2030,273,48,1520,67,1,8,,96
"Hombres (019)",1557,982,153,29,294,45,1,4,,49
"Mujeres (020)",2486,1048,120,19,1226,22,,4,,47
"De 06 a 14 años (021)",1410,1361,,,32,8,,4,,5
"Hombres (022)",715,687,,,17,5,,2,,4
"Mujeres (023)",695,674,,,15,3,,2,,1
"De 15 a 29 años (024)",1125,631,2,14,450,,1,2,,25
"Hombres (025)",393,283,1,7,92,,1,1,,8
"Mujeres (026)",732,348,1,7,358,,,1,,17
"De 30 a 44 años (027)",475,25,10,7,409,,,1,,23
"Hombres (028)",92,9,5,4,61,,,1,,12
"Mujeres (029)",383,16,5,3,348,,,,,11
"De 45 a 64 años (030)",493,11,52,14,395,,,1,,20
"Hombres (031)",108,3,26,8,60,,,,,11
"Mujeres (032)",385,8,26,6,335,,,1,,9
"De 65 y más años (033)",540,2,209,13,234,59,,,,23
"Hombres (034)",249,,121,10,64,40,,,,14
"Mujeres (035)",291,2,88,3,170,19,,,,9
,,,,,,,,,,
"AREA RURAL (036)",2071,959,165,27,843,36,,10,,31
"Hombres (037)",731,482,96,16,94,18,,7,,18
"Mujeres (038)",1340,477,69,11,749,18,,3,,13
"De 06 a 14 años (039)",659,644,,,9,4,,,,2
"Hombres (040)",327,321,,,2,3,,,,1
"Mujeres (041)",332,323,,,7,1,,,,1
"De 15 a 29 años (042)",573,308,,4,247,,,5,,9
"Hombres (043)",189,157,,2,22,,,3,,5
"Mujeres (044)",384,151,,2,225,,,2,,4
"De 30 a 44 años (045)",257,5,,4,240,,,3,,5
"Hombres (046)",28,3,,1,18,,,3,,3
"Mujeres (047)",229,2,,3,222,,,,,2
"De 45 a 64 años (048)",262,,19,9,226,1,,2,,5
"Hombres (049)",44,,7,7,25,1,,1,,3
"Mujeres (050)",218,,12,2,201,,,1,,2
"De 65 y más años (051)",320,2,146,10,121,31,,,,10
"Hombres (052)",143,1,89,6,27,14,,,,6
"Mujeres (053)",177,1,57,4,94,17,,,,4
