"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4571,35,98,238,429,881,1733,1157
"De 12 a 14 años (001)",7,,,,,,,7
"De 15 a 19 años (002)",176,,,,,,86,90
"De 20 a 24 años (003)",603,,,,,2,351,250
"De 25 a 29 años (004)",659,,,,,21,446,192
"De 30 a 34 años (005)",612,,,,1,92,391,128
"De 35 a 39 años (006)",522,,,,4,172,279,67
"De 40 a 44 años (007)",462,,,,34,215,133,80
"De 45 a 49 años (008)",388,,,3,78,200,39,68
"De 50 y más años (009)",1142,35,98,235,312,179,8,275
"Sin nivel (010)",226,9,23,33,30,37,23,71
"De 15 a 19 años (012)",1,,,,,,,1
"De 20 a 24 años (013)",7,,,,,1,3,3
"De 25 a 29 años (014)",8,,,,,,6,2
"De 30 a 34 años (015)",9,,,,,,4,5
"De 35 a 39 años (016)",9,,,,,3,6,
"De 40 a 44 años (017)",15,,,,,9,4,2
"De 45 a 49 años (018)",18,,,,1,12,,5
"De 50 y más años (019)",159,9,23,33,29,12,,53
"Educacion Inicial (020)",6,,,,,,2,4
"De 20 a 24 años (023)",2,,,,,,1,1
"De 25 a 29 años (024)",1,,,,,,,1
"De 30 a 34 años (025)",1,,,,,,,1
"De 35 a 39 años (026)",2,,,,,,1,1
"Primaria (030)",1966,24,69,161,279,457,602,374
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",36,,,,,,19,17
"De 20 a 24 años (033)",129,,,,,,87,42
"De 25 a 29 años (034)",192,,,,,4,145,43
"De 30 a 34 años (035)",222,,,,1,41,139,41
"De 35 a 39 años (036)",216,,,,2,88,108,18
"De 40 a 44 años (037)",231,,,,15,111,76,29
"De 45 a 49 años (038)",217,,,2,48,110,21,36
"De 50 y más años (039)",721,24,69,159,213,103,7,146
"Secundaria (040)",1494,2,5,29,79,256,730,393
"De 12 a 14 años (041)",5,,,,,,,5
"De 15 a 19 años (042)",122,,,,,,62,60
"De 20 a 24 años (043)",313,,,,,1,190,122
"De 25 a 29 años (044)",286,,,,,11,201,74
"De 30 a 34 años (045)",227,,,,,36,156,35
"De 35 a 39 años (046)",163,,,,1,51,93,18
"De 40 a 44 años (047)",128,,,,15,68,22,23
"De 45 a 49 años (048)",86,,,,19,49,5,13
"De 50 y más años (049)",164,2,5,29,44,40,1,43
"Sup. no Univ. incompleta (050)",213,,,2,7,32,108,64
"De 15 a 19 años (052)",14,,,,,,3,11
"De 20 a 24 años (053)",52,,,,,,26,26
"De 25 a 29 años (054)",49,,,,,3,32,14
