"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia REQUENA (000)",792,384,408
"Sin nivel (001)",13,3,10
"Primaria (003)",285,147,138
"Secundaria (004)",412,193,219
"Superior no univ. incompleta (005)",20,10,10
"Superior no univ. completa (006)",36,20,16
"Superior univ. incompleta (007)",7,1,6
"Superior univ. completa (008)",19,10,9
"Hombres (010)",583,276,307
"Sin nivel (011)",9,2,7
"Primaria (013)",208,102,106
"Secundaria (014)",311,145,166
"Superior no univ. incompleta (015)",14,5,9
"Superior no univ. completa (016)",23,13,10
"Superior univ. incompleta (017)",5,1,4
"Superior univ. completa (018)",13,8,5
"Mujeres (020)",209,108,101
"Sin nivel (021)",4,1,3
"Primaria (023)",77,45,32
"Secundaria (024)",101,48,53
"Superior no univ. incompleta (025)",6,5,1
"Superior no univ. completa (026)",13,7,6
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",6,2,4
,,,
"AREA URBANA (030)",581,255,326
"Sin nivel (031)",6,,6
"Primaria (033)",167,68,99
"Secundaria (034)",339,154,185
"Superior no univ. incompleta (035)",17,9,8
"Superior no univ. completa (036)",29,15,14
"Superior univ. incompleta (037)",5,,5
"Superior univ. completa (038)",18,9,9
"Hombres (040)",418,178,240
"Sin nivel (041)",3,,3
"Primaria (043)",117,43,74
"Secundaria (044)",255,115,140
"Superior no univ. incompleta (045)",11,4,7
"Superior no univ. completa (046)",17,9,8
"Superior univ. incompleta (047)",3,,3
"Superior univ. completa (048)",12,7,5
"Mujeres (050)",163,77,86
"Sin nivel (051)",3,,3
"Primaria (053)",50,25,25
"Secundaria (054)",84,39,45
"Superior no univ. incompleta (055)",6,5,1
"Superior no univ. completa (056)",12,6,6
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",6,2,4
,,,
"AREA RURAL (060)",211,129,82
"Sin nivel (061)",7,3,4
"Primaria (063)",118,79,39
"Secundaria (064)",73,39,34
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",7,5,2
"Superior univ. incompleta (067)",2,1,1
"Superior univ. completa (068)",1,1,
"Hombres (070)",165,98,67
"Sin nivel (071)",6,2,4
"Primaria (073)",91,59,32
"Secundaria (074)",56,30,26
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",6,4,2
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",1,1,
"Mujeres (080)",46,31,15
"Sin nivel (081)",1,1,
"Primaria (083)",27,20,7
"Secundaria (084)",17,9,8
"Superior no univ. completa (086)",1,1,
