"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CAMANA (000)",23094,4544,6639,8742,943,762,447,1017
"Agric., ganadería, caza y silvicultura (001)",6440,35,4265,1442,382,316,,
"Pesca (002)",1020,40,554,396,5,25,,
"Explotación de minas y canteras (003)",2195,13,148,1727,306,1,,
"Industrias manufactureras (004)",772,65,240,432,24,11,,
"Suministro de electricidad, gas y agua (005)",44,13,26,3,2,,,
"Construcción (006)",962,22,669,249,17,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3474,661,81,2335,114,283,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",353,60,56,201,25,11,,
"Comercio al por mayor (009)",184,84,9,78,5,8,,
"Comercio al por menor (010)",2937,517,16,2056,84,264,,
"Hoteles y restaurantes (011)",1001,399,32,508,31,31,,
"Trans., almac. y comunicaciones (012)",1667,429,248,941,24,25,,
"Intermediación financiera (013)",83,79,2,1,1,,,
"Activid.inmobil., empres. y alquileres (014)",640,421,50,150,14,5,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",730,665,65,,,,,
"Enseñanza (016)",1081,1006,,70,5,,,
"Servicios sociales y de salud (017)",376,317,7,46,4,2,,
"Otras activ. serv.comun.soc y personales (018)",705,256,167,266,6,10,,
"Hogares privados con servicio doméstico (019)",447,,,,,,447,
"Actividad economica no especificada (021)",440,123,85,176,8,48,,
"Desocupado (022)",1017,,,,,,,1017
"Hombres (023)",15494,2338,5094,6225,778,349,44,666
"Agric., ganadería, caza y silvicultura (024)",4776,30,2937,1264,345,200,,
"Pesca (025)",1004,39,543,393,5,24,,
"Explotación de minas y canteras (026)",2040,11,141,1619,268,1,,
"Industrias manufactureras (027)",556,43,206,284,15,8,,
"Suministro de electricidad, gas y agua (028)",40,10,25,3,2,,,
"Construcción (029)",931,19,643,247,17,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1526,301,77,1005,71,72,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",321,45,56,189,23,8,,
"Comercio al por mayor (032)",116,58,8,42,5,3,,
"Comercio al por menor (033)",1089,198,13,774,43,61,,
"Hoteles y restaurantes (034)",318,166,16,119,14,3,,
"Trans., almac. y comunicaciones (035)",1521,322,240,916,23,20,,
"Intermediación financiera (036)",46,44,1,1,,,,
"Activid.inmobil., empres. y alquileres (037)",447,272,41,124,8,2,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",511,474,37,,,,,
"Enseñanza (039)",374,341,,32,1,,,
"Servicios sociales y de salud (040)",120,86,2,31,1,,,
"Otras activ. serv.comun.soc y personales (041)",394,136,127,124,3,4,,
"Hogares privados con servicio doméstico (042)",44,,,,,,44,
"Actividad economica no especificada (044)",180,44,58,63,5,10,,
"Desocupado (045)",666,,,,,,,666
"Mujeres (046)",7600,2206,1545,2517,165,413,403,351
"Agric., ganadería, caza y silvicultura (047)",1664,5,1328,178,37,116,,
"Pesca (048)",16,1,11,3,,1,,
"Explotación de minas y canteras (049)",155,2,7,108,38,,,
"Industrias manufactureras (050)",216,22,34,148,9,3,,
"Suministro de electricidad, gas y agua (051)",4,3,1,,,,,
"Construcción (052)",31,3,26,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1948,360,4,1330,43,211,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",32,15,,12,2,3,,
"Comercio al por mayor (055)",68,26,1,36,,5,,
"Comercio al por menor (056)",1848,319,3,1282,41,203,,
"Hoteles y restaurantes (057)",683,233,16,389,17,28,,
"Trans., almac. y comunicaciones (058)",146,107,8,25,1,5,,
"Intermediación financiera (059)",37,35,1,,1,,,
"Activid.inmobil., empres. y alquileres (060)",193,149,9,26,6,3,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",219,191,28,,,,,
"Enseñanza (062)",707,665,,38,4,,,
"Servicios sociales y de salud (063)",256,231,5,15,3,2,,
"Otras activ. serv.comun.soc y personales (064)",311,120,40,142,3,6,,
"Hogares privados con servicio doméstico (065)",403,,,,,,403,
"Actividad economica no especificada (067)",260,79,27,113,3,38,,
,,,,,,,,
"URBANA (068)",18760,4284,5491,6349,555,697,422,962
"Agric., ganadería, caza y silvicultura (069)",5278,33,3479,1203,296,267,,
"Pesca (070)",613,40,342,205,2,24,,
"Explotación de minas y canteras (071)",289,11,94,152,31,1,,
"Industrias manufactureras (072)",717,59,215,410,22,11,,
"Suministro de electricidad, gas y agua (073)",42,13,24,3,2,,,
"Construcción (074)",911,21,638,231,16,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",3233,621,80,2162,100,270,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",338,56,56,193,22,11,,
"Comercio al por mayor (077)",179,83,9,74,5,8,,
"Comercio al por menor (078)",2716,482,15,1895,73,251,,
"Hoteles y restaurantes (079)",905,353,28,469,25,30,,
"Trans., almac. y comunicaciones (080)",1587,404,235,899,24,25,,
"Intermediación financiera (081)",82,78,2,1,1,,,
"Activid.inmobil., empres. y alquileres (082)",589,383,43,144,14,5,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",700,638,62,,,,,
"Enseñanza (084)",1045,972,,68,5,,,
"Servicios sociales y de salud (085)",368,310,7,45,4,2,,
"Otras activ. serv.comun.soc y personales (086)",664,249,162,237,6,10,,
"Hogares privados con servicio doméstico (087)",422,,,,,,422,
"Actividad economica no especificada (089)",353,99,80,120,7,47,,
"Desocupado (090)",962,,,,,,,962
"Hombres (091)",11984,2208,4173,4187,441,313,39,623
"Agric., ganadería, caza y silvicultura (092)",3866,28,2349,1051,272,166,,
"Pesca (093)",601,39,334,202,2,24,,
"Explotación de minas y canteras (094)",268,11,91,142,23,1,,
"Industrias manufactureras (095)",517,39,190,267,13,8,,
"Suministro de electricidad, gas y agua (096)",39,10,24,3,2,,,
"Construcción (097)",881,18,613,229,16,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",1450,289,76,953,61,71,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",307,42,56,181,20,8,,
"Comercio al por mayor (100)",113,57,8,40,5,3,,
"Comercio al por menor (101)",1030,190,12,732,36,60,,
"Hoteles y restaurantes (102)",294,150,14,115,12,3,,
"Trans., almac. y comunicaciones (103)",1444,298,228,875,23,20,,
"Intermediación financiera (104)",46,44,1,1,,,,
"Activid.inmobil., empres. y alquileres (105)",406,239,37,120,8,2,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",497,460,37,,,,,
"Enseñanza (107)",365,333,,31,1,,,
"Servicios sociales y de salud (108)",117,84,2,30,1,,,
"Otras activ. serv.comun.soc y personales (109)",374,132,123,112,3,4,,
"Hogares privados con servicio doméstico (110)",39,,,,,,39,
"Actividad economica no especificada (112)",157,34,54,56,4,9,,
"Desocupado (113)",623,,,,,,,623
"Mujeres (114)",6776,2076,1318,2162,114,384,383,339
