"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",3755,594,581,1768,28,263,38,483
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",28,28,,,,,,
"Profes., científicos e intelectuales (002)",417,396,,15,1,5,,
"Técnicos de nivel medio y trab. asimilados (003)",33,23,,9,1,,,
"Jefes y empleados de oficina (004)",80,80,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",237,12,4,190,7,24,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1343,,,1332,11,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",207,,98,98,5,6,,
"Obreros construc.,conf.,papel, fab., instr. (008)",195,7,122,55,3,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",663,35,346,37,,207,38,
"Otra (010)",6,6,,,,,,
"Ocupación no especificada (011)",63,7,11,32,,13,,
"Desocupado (012)",483,,,,,,,483
"Hombres (013)",3156,399,547,1546,24,214,5,421
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",27,27,,,,,,
"Profes., científicos e intelectuales (015)",278,262,,12,1,3,,
"Técnicos de nivel medio y trab. asimilados (016)",19,12,,6,1,,,
"Jefes y empleados de oficina (017)",57,57,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",89,6,1,74,3,5,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",1312,,,1301,11,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",171,,88,74,5,4,,
"Obreros construc.,conf.,papel, fab., instr. (021)",193,7,121,54,3,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",560,19,330,14,,192,5,
"Otra (023)",6,6,,,,,,
"Ocupación no especificada (024)",23,3,7,11,,2,,
"Desocupado (025)",421,,,,,,,421
"Mujeres (026)",599,195,34,222,4,49,33,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",1,1,,,,,,
"Profes., científicos e intelectuales (028)",139,134,,3,,2,,
"Técnicos de nivel medio y trab. asimilados (029)",14,11,,3,,,,
"Jefes y empleados de oficina (030)",23,23,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",148,6,3,116,4,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",31,,,31,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",36,,10,24,,2,,
"Obreros construc.,conf.,papel, fab., instr. (034)",2,,1,1,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",103,16,16,23,,15,33,
"Ocupación no especificada (037)",40,4,4,21,,11,,
"Desocupado (038)",62,,,,,,,62
,,,,,,,,
"URBANA (039)",1362,417,243,485,18,47,22,130
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",19,19,,,,,,
"Profes., científicos e intelectuales (041)",288,274,,9,1,4,,
"Técnicos de nivel medio y trab. asimilados (042)",26,18,,8,,,,
"Jefes y empleados de oficina (043)",63,63,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",176,8,1,144,7,16,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",202,,,200,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",137,,63,67,5,2,,
"Obreros construc.,conf.,papel, fab., instr. (047)",89,6,54,25,3,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",200,17,120,22,,19,22,
"Otra (049)",6,6,,,,,,
"Ocupación no especificada (050)",26,6,5,10,,5,,
"Desocupado (051)",130,,,,,,,130
"Hombres (052)",999,278,227,347,14,24,2,107
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",18,18,,,,,,
"Profes., científicos e intelectuales (054)",189,178,,8,1,2,,
"Técnicos de nivel medio y trab. asimilados (055)",16,10,,6,,,,
"Jefes y empleados de oficina (056)",43,43,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",64,4,,54,3,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",189,,,187,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",123,,62,55,5,1,,
"Obreros construc.,conf.,papel, fab., instr. (060)",88,6,53,25,3,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",148,10,110,10,,16,2,
"Otra (062)",6,6,,,,,,
"Ocupación no especificada (063)",8,3,2,2,,1,,
"Desocupado (064)",107,,,,,,,107
"Mujeres (065)",363,139,16,138,4,23,20,23
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",1,1,,,,,,
"Profes., científicos e intelectuales (067)",99,96,,1,,2,,
"Técnicos de nivel medio y trab. asimilados (068)",10,8,,2,,,,
"Jefes y empleados de oficina (069)",20,20,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",112,4,1,90,4,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",13,,,13,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",14,,1,12,,1,,
"Obreros construc.,conf.,papel, fab., instr. (073)",1,,1,,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",52,7,10,12,,3,20,
"Ocupación no especificada (076)",18,3,3,8,,4,,
"Desocupado (077)",23,,,,,,,23
,,,,,,,,
"RURAL (078)",2393,177,338,1283,10,216,16,353
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",9,9,,,,,,
"Profes., científicos e intelectuales (080)",129,122,,6,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",7,5,,1,1,,,
"Jefes y empleados de oficina (082)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",61,4,3,46,,8,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1141,,,1132,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",70,,35,31,,4,,
"Obreros construc.,conf.,papel, fab., instr. (086)",106,1,68,30,,7,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",463,18,226,15,,188,16,
"Ocupación no especificada (089)",37,1,6,22,,8,,
"Desocupado (090)",353,,,,,,,353
"Hombres (091)",2157,121,320,1199,10,190,3,314
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",9,9,,,,,,
"Profes., científicos e intelectuales (093)",89,84,,4,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",3,2,,,1,,,
"Jefes y empleados de oficina (095)",14,14,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",25,2,1,20,,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1123,,,1114,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",48,,26,19,,3,,
"Obreros construc.,conf.,papel, fab., instr. (099)",105,1,68,29,,7,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (100)",412,9,220,4,,176,3,
