"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAYACAJA (000)",30831,27510,1918,546,857
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,,4,2,33
"Profes., científicos e intelectuales (002)",1155,363,363,274,155
"Técnicos de nivel medio y trab. asimilados (003)",325,141,36,41,107
"Jefes y empleados de oficina (004)",348,46,28,29,245
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1607,1511,54,17,25
"Agricult.trabaj.calif.agrop.y pesqueros (006)",11771,11316,452,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",567,456,60,32,19
"Obreros construc.,conf.,papel, fab., instr. (008)",731,567,89,33,42
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13574,12540,783,114,137
"Otra (010)",78,,,,78
"Ocupación no especificada (011)",636,570,49,3,14
"Hombres (012)",21687,19328,1369,378,612
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,,4,1,26
"Profes., científicos e intelectuales (014)",622,152,217,163,90
"Técnicos de nivel medio y trab. asimilados (015)",228,104,30,27,67
"Jefes y empleados de oficina (016)",216,24,21,22,149
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",622,554,30,17,21
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10047,9659,385,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",439,341,55,27,16
"Obreros construc.,conf.,papel, fab., instr. (020)",718,559,86,31,42
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8434,7718,516,86,114
"Otra (022)",77,,,,77
"Ocupación no especificada (023)",253,217,25,3,8
"Mujeres (024)",9144,8182,549,168,245
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,,1,7
"Profes., científicos e intelectuales (026)",533,211,146,111,65
"Técnicos de nivel medio y trab. asimilados (027)",97,37,6,14,40
"Jefes y empleados de oficina (028)",132,22,7,7,96
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",985,957,24,,4
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1724,1657,67,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",128,115,5,5,3
"Obreros construc.,conf.,papel, fab., instr. (032)",13,8,3,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5140,4822,267,28,23
