"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LUCANAS (000)",61731,2809,6757,7596,5840,9432,8158,14110,7029
"Sabe leer y escribir (001)",50486,,5395,7521,5760,9174,7703,11283,3650
"No sabe leer y escribir (002)",11245,2809,1362,75,80,258,455,2827,3379
"Hombres (004)",31749,1444,3489,3967,3055,4917,4255,7310,3312
"Sabe leer y escribir (005)",27832,,2753,3933,3019,4836,4130,6696,2465
"No sabe leer y escribir (006)",3917,1444,736,34,36,81,125,614,847
"Mujeres (008)",29982,1365,3268,3629,2785,4515,3903,6800,3717
"Sabe leer y escribir (009)",22654,,2642,3588,2741,4338,3573,4587,1185
"No sabe leer y escribir (010)",7328,1365,626,41,44,177,330,2213,2532
,,,,,,,,,
"URBANA (012)",36331,1506,3824,4659,3681,5439,4921,8218,4083
"Sabe leer y escribir (013)",30557,,3178,4631,3652,5347,4739,6857,2153
"No sabe leer y escribir (014)",5774,1506,646,28,29,92,182,1361,1930
"Hombres (016)",18056,769,1940,2439,1912,2655,2392,4129,1820
"Sabe leer y escribir (017)",16150,,1603,2425,1895,2620,2341,3871,1395
"No sabe leer y escribir (018)",1906,769,337,14,17,35,51,258,425
"Mujeres (020)",18275,737,1884,2220,1769,2784,2529,4089,2263
"Sabe leer y escribir (021)",14407,,1575,2206,1757,2727,2398,2986,758
"No sabe leer y escribir (022)",3868,737,309,14,12,57,131,1103,1505
,,,,,,,,,
"RURAL (024)",25400,1303,2933,2937,2159,3993,3237,5892,2946
"Sabe leer y escribir (025)",19929,,2217,2890,2108,3827,2964,4426,1497
"No sabe leer y escribir (026)",5471,1303,716,47,51,166,273,1466,1449
"Hombres (028)",13693,675,1549,1528,1143,2262,1863,3181,1492
"Sabe leer y escribir (029)",11682,,1150,1508,1124,2216,1789,2825,1070
"No sabe leer y escribir (030)",2011,675,399,20,19,46,74,356,422
"Mujeres (032)",11707,628,1384,1409,1016,1731,1374,2711,1454
"Sabe leer y escribir (033)",8247,,1067,1382,984,1611,1175,1601,427
"No sabe leer y escribir (034)",3460,628,317,27,32,120,199,1110,1027
